Vendor Registry
As of 5/29/2026 3:20:43 PM

"The information provided in this file is not to be used for unsolicited advertising, spam, or any other unauthorized use."

"Company Name","DBA Name","Contact Person","Address","City","State","Zip","Phone","Fax","Email","Website","Commodity Codes",
"621 Law Partners/Conliffe Sandmann & Sullivan PLLC","","Teresa Tabler","Waterfront Plaza, 325 West Main Street, Ste. 250","Louisville","KY","	40202","502-587-7711","502-587-7756","ttabler@cssattorneys.com","http://www.cssattorneys.com","5411 - Legal Services",
"Auctions ASAP","","Scott Edberg","7208 Tangelo Dr","Louisville","KY","	40228","502-451-2010","502-456-5593","info@auctionsasap.com","http://auctionsasap.com","423110 - Automobile auction merchant wholesalers; 423910 - Firearms, sporting, merchant wholesalers; 423910 - Sporting firearms and ammunition merchant wholesalers; 423990 - Firearms (except sporting) merchant wholesalers; 424520 - Auction markets, livestock (except horses, mules), merchant wholesalers; 425120 - Automobile auction agents and brokers, wholesale trade; 459510 - Internet auctions, general merchandise (used), retail; 53 - Real Estate and Rental and Leasing; 531 - Real Estate; 531210 - Auctioning real estate for others (i.e., agents, brokers); 561990 - Auctioneers, independent; 61143 - Professional and Management Development Training; 611430 - Management development training; 611430 - Professional development training",
"Axxis Inc./ISSG","","Erik Knappenberger","845 South Ninth Street","Louisville","KY","	40203","502-568-6030","502-566-6204","eknappenberger@axxisinc.com","","532490 - Audio visual equipment rental or leasing",
"Bell Ferris, Inc.","","Jason Ferris","12468 La Grange Rd, PMB 126","Louisville","KY","	40245","502-883-0055","","jferris@bellferris.com","http://bellferris.com","531320 - Appraisal services, real estate; 531320 - Real estate appraisal services",
"Boehl Stopher & Graves, LLP","","Jane Hood","400 W. Market Street, Suite 2300","Louisville","KY","	40202","502-589-5980","502-561-9400","mhunt@bsg-law.com","http://bsg-law.com","541110 - Law firms",
"Bootleg Bar-B-Q Co.","","Brandon Chasteen","9704 Old Bardstown Road","Louisville","KY","	40291","502-239-2778","502-239-6855","bchasteen@bootlegbbq.com","http://bootlegbbq.com","722320 - Catering services, social",
"Bornstein General Contracting 1890","","Dawn Burba","11866 CAPITAL WAY","LOUISVILLE","KY","	40299","502-634-3706","","dburba@bornstein1890.com","http://www.bornstein1890.com","23 - Construction",
"BOUND TREE MEDICAL LLC","","Christopher Fyffe","5000 Bradenton Ave","Dublin","OH","	43017","800-533-0523","800-257-5713","submitbids@boundtree.com","http://www.boundtree.com","315990 - Apparel Accessories and Other Apparel Manufacturing; 339112 - Surgical and Medical Instrument Manufacturing; 339113 - Surgical Appliance and Supplies Manufacturing; 423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; 424210 - Drugs and Druggists' Sundries Merchant Wholesalers; 518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",
"BrewPro Inc.","","David Brewer","9483 Reading Rd.","Cincinnati","OH","	45215","513-577-7200","513-577-7210","dbrewer@brewerproducts.com","http://www.brewpro.net","324121 - Asphalt road compounds made from purchased asphaltic materials; 324121 - Tar and asphalt paving mixtures made from purchased asphaltic materials; 324121 - Asphalt Paving Mixture and Block Manufacturing; 324122 - Coating compounds, tar, made from purchased asphaltic materials; 423810 - Construction machinery and equipment merchant wholesalers; 423810 - Road construction and maintenance machinery merchant wholesalers; 423810 - Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers; 423810 - Mixers, construction and mining, merchant wholesalers; 532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing",
"Brian J. Sanderfer","","Brian Sanderfer","P.O. Box 5248","Louisville","KY","	40255","502-592-4779","502-625-0913","brian@kentuckyappraisal.com","","531320 - Offices of Real Estate Appraisers",
"Bristol Bar & Grille","Bristol Catering","Emilie Pfeiffer","PO Box 4607","Louisville","KY","	40206","502-584-3663","502-893-1341","emilie@bristolcatering.com","http://www.bristolcatering.com","722320 - Catering services, social",
"Buckeye Construction & Restoration, Ltd","","Deanna Derrow","405 Watertown Rd","Waterford","OH","	45786","740-749-5864","","dbrown@bcrmco.com","","238140 - Masonry pointing, cleaning or caulking; 325510 - Water-repellent coatings for wood, concrete and masonry manufacturing; 327310 - Cement (e.g., hydraulic, masonry, portland, pozzolana) manufacturing",
"Builders Exchange of Kentucky, Inc.","","Laura Griggs","2300 Meadow Drive","Louisville","KY","	40218","502-459-9800","","laura@magnoliaaccountingcpa.com","http://www.bxkentucky.com/","61 - Educational Services; 813910 - Trade associations",
"Cardinal Technology, PLLC","","Cecil Talbott","3204 Five Oaks Place","Louisville","KY","	40207","502-216-4800","502-000-0000","ctalbott@cardinaltechnologyky.com","http://www.cardinaltechnologyky.com","541330 - Engineering services",
"CDW LLC","","Angelia Green","75 Tri-State International","Lincolnshire","IL","	60069","800-808-4239","847-968-0978","jamewil@cdw.com","http://www.cdwg.com","334111 - Electronic Computer Manufacturing; 423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; 541519 - Other Computer Related Services",
"Charles Michael Haines","Michael Haines, Attorney at Law","Charles Haines","2795 Highway 127 S","Owenton","KY","	40359","502-514-1430","","mhaines56@gmail.com","","541 - Professional, Scientific, and Technical Services",
"CHEF LI'S PRIVATE KITCHEN","","Mikaili Sturgis","2096 Spring Station Dr","Lexington","KY","	40505","859-494-3819","","cheflisprivatekitchen@gmail.com","https://mikailisturgis83.wixsite.com/myculinaryportfolio","72 - Accommodation and Food Services",
"City Wise Software LLC","City Wise Software","Jeremy Schmidt","541 E Erie St, Unit 305","Milwaukee","WI","	53202","414-526-4179","","jeremy@citywisesoftware.com","https://www.citywisesoftware.com","925110 - Housing programs, planning and development, government",
"CJK Group, Inc. dba Sheridan","CJK Group, Inc. dba Sheridan","Thomas Wheeler","410 Highway 25 South","Brainerd","MN","	56401","800-328-0450","","thomas.wheeler@callkodi.com","http://cjkgroup.com","32311 - Printing",
"Clean Oasis, LLC.","","Kayla DeMori","6844 Bardstown Rd, Louisville","Louisville","KY","	40291","865-210-2574","","cleanoasis.ky@gmail.com","","23832 - Painting and Wall Covering Contractors; 238320 - House painting; 238320 - Painting (except roof) contractors; 238320 - Painting and wallpapering; 238320 - Painting and Wall Covering Contractors; 54 - Professional, Scientific, and Technical Services; 54132 - Landscape Architectural Services; 541320 - Landscape Architectural Services; 56173 - Landscaping Services; 561730 - Landscape care and maintenance services; 81 - Other Services (except Public Administration)",
"Clear Vision Counseling","","Dan McDonald","7160 Dixie Hwy","Louisville","KY","	40258","502-995-3350","502-995-3384","dan@clearvisioncounseling.org","http://www.clearvisioncounseling.org","624190 - Counseling services (except by psychiatrists, psychoanalysts, or psychotherapists)",
"CMTA, Inc.","","Troy Schoenbaechler","10411 MEETING ST","PROSPECT","KY","	40059","502-326-3085","","troys@cmta.com","http://www.cmta.com","54133 - Engineering Services",
"Coles Foundation Inc.","","Jonathan Cole","2928 W Kentucky St","Louisville","KY","	40211","502-537-2661","","colesfoundationinc@gmail.com","","624110 - Child and Youth Services; 711211 - Football clubs, professional or semiprofessional; 711211 - Sports Teams and Clubs; 711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities; 713990 - Amateur sports teams, recreational; 713990 - Athletic clubs (i.e., sports teams) not operating sports facilities, recreational; 713990 - Basketball clubs, recreational; 713990 - Bowling leagues or teams, recreational; 713990 - All Other Amusement and Recreation Industries; 813319 - Other Social Advocacy Organizations; 813410 - Civic and Social Organizations",
"Community Coordinated Child Care, Inc.","4-C","Michelle Smith","908 S 8th St, Suite 100","Louisville","KY","	40203","502-636-1358","502-638-4572","michelle-smith@4cforkids.com","http://www.4cforkids.org","624190 - Other Individual and Family Services",
"Concord Energy Strategies, LLC","","Dennis Stilger","6000 Brownsboro Park Blvd, Suite H","Louisville","KY","	40207","502-384-9078","","dennis@concordlp.com","","541330 - Engineering consulting services",
"Country Clean, LLC","","Tara Bethel","4703 Huckleberry Ct","Louisville","KY","	40216","502-994-8775","","countryclean24@gmail.com","","561720 - Janitorial Services",
"Custom Engineering, Inc.","","Erin Decker","12760 East US Highway 40","Independence","MO","	64055","816-350-1473","816-350-1579","jtdavis@customengr.com","http://www.customengr.com","541330 - Electrical engineering services; 541330 - Engineering design services; 541330 - Engineering services; 541330 - Mechanical engineering services",
"D2 Rentals, LLC","","Brandt Davis","4311 MOUNT VERNON RD","LOUISVILLE","KY","	40220","502-297-2820","","brandt_davis@hotmail.com","","53 - Real Estate and Rental and Leasing",
"Danny Murphy Consulting LLC","","Daniel Murphy","2928 Dumaine St","New Orleans","LA","	70119","504-256-2739","","danny@dannypmurphy.com","","541611 - Administrative Management and General Management Consulting Services",
"DATABASEUSA.COM LLC","AtoZdatabases","Jordan LaBorde","11211 JOHN GALT BLVD","OMAHA","NE","	68137","402-939-3908","402-704-7047","jordan@atozdatabases.com","http://https://www.atozdatabases.com/","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services; 519290 - Web Search Portals and All Other Information Services",
"Dave Purchase Project","North American Syringe Exchange Network","Brielle Wright","535 DOCK ST  STE 113","TACOMA","WA","	98402","253-272-4857","253-272-8415","brielle@nasen.org","http://https://catalog.nasen.org/","339112 - Hypodermic needles and syringes manufacturing; 339112 - Syringes, hypodermic, manufacturing",
"Day Spring","","Lauren Hays","3430 Day Spring Ct","Louisville","KY","	40213","502-636-5990","","lauren.hays@dayspringky.org","http://www.dayspringky.org","62 - Health Care and Social Assistance; 624120 - Services for the Elderly and Persons with Disabilities",
"Dilbeck and Myers, PLLC","","James Dilbeck","8005 Lyndon Centre Way, Suite 201","Louisville","KY","	40222","502-595-6500","502-595-6504","jay@dilbeckandmyers.com","http://www.dilbeckandmyers.com","5411 - Legal Services",
"DJX Construction Company LLC","n/a","James Stocks","5005 Winton Rd","Cincinnati","OH","	45232","513-577-2323","","jstocks@djxconstruction.com","http://www.djxconstruction.com","2371 - Utility System Construction; 2373 - Highway, Street, and Bridge Construction; 2379 - Other Heavy and Civil Engineering Construction",
"DNA LABS INTERNATIONAL","","KIRSTEN CHARLSON","700 W Hillsboro Blvd, Bld 3","deerfield beach","FL","	33441","954-426-5163","","contracts@dnalabsinternational.com","http://www.dnalabsinternational.com","541380 - Testing Laboratories and Services; 541990 - All Other Professional, Scientific, and Technical Services",
"Donovan Energy, LLC","","Tim Donovan","530 Walnut St, Suite 200","Cincinnati","OH","	45202","513-536-6878","","aholzhauser@donovanenergy.com","http://www.donovanenergy.com","541690 - Other Scientific and Technical Consulting Services",
"Dont Call Me Heather LLC","","Heba Hanbali","2727 W Broadway, Unit 11621","Louisville","KY","	40251","502-821-5875","","contactdcmh@gmail.com","http://dcmhheba.store","458 - Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",
"Dream Craft Investments LLC","","DeAaron Robinson","5505 Mock Ct","Louisville","KY","	40258","502-210-7766","","deaaronrobinson50@gmail.com","","531 - Real Estate",
"Duplicator Sales & Service, Inc.","","Sarah Paynter","831 East Broadway","Louisville","KY","	40204","502-560-0761","502-560-0768","spaynter@duplicatorsales.net","","42342 - Office Equipment Merchant Wholesalers",
"EARLY YEARS, INC.","","EMMANUEL PAUL","1829 E Franklin St, BLG 1000","Chapel Hill","NC","	27514","919-969-1922","","emmanuelp@earlyyearsnc.org","http://https://www.earlyyearsnc.org/","62441 - Child Care Services",
"Effective Law Enforcement For All","ELEFA","John Salomone","1905 Elkhart Street, 16th Street","Silver Spring","MD","	20910","202-309-2054","","john@ele4a.org","http://www.ele4a.org","5416 - Management, Scientific, and Technical Consulting Services; 922 - Justice, Public Order, and Safety Activities",
"Elavon, Inc.","","Meghan Christensen","Two Concourse Parkway","Atlanta","GA","	30328","678-731-5000","","custsvc@elavon.com","http://www.elavon.com","52232 - Financial Transactions Processing, Reserve, and Clearinghouse Activities",
"ELITE MANAGEMENT ENTERPRISE INC","","Yvette Goodwin","4826 Fielding Way","Louisville","KY","	40216","502-554-3770","","elitemanagement2009@gmail.com","","236118 - Addition, alteration and renovation, single-family housing, general contractors; 238320 - House painting; 23833 - Flooring Contractors; 238330 - Vinyl flooring contractors; 531390 - Real estate consultants' (except agents, appraisers) offices; 56172 - Janitorial Services; 561720 - Janitorial Services; 561730 - Seasonal property maintenance services (i.e., snow plowing in winter, landscaping during other seasons)",
"EMKAT INC","","Pamela Bammer","GRASSMASTERS SOD FARM  2300 W 350 NORTH","PATOKA","IN","	47666","","","pam@gmsod.com","","111421 - Sod farming",
"Eugene Health","Crosswalk Health","Anjali Barrett","1505 Lyndon B. Johnson Fwy, Suite 455","Dallas","TX","	75234","469-206-9527","","compliance@crosswalk.health","","62 - Health Care and Social Assistance",
"Exclusive lawncare and property maintenance llc","","Austin Johnson","6812 Triangle Dr","Louisville","KY","	40214","502-999-0406","","austinleejohnson502@gmail.com","","238320 - House painting; 238320 - Paint and wallpaper stripping; 238320 - Painting and Wall Covering Contractors; 561720 - Building cleaning services, interior; 561720 - Building cleaning services, janitorial; 561720 - Cleaning homes; 561720 - Cleaning offices; 561720 - Housekeeping services (i.e., cleaning services); 561720 - Residential cleaning services; 561720 - Janitorial Services; 561730 - Landscape care and maintenance services; 561730 - Lawn care services (e.g., fertilizing, mowing, seeding, spraying); 561730 - Lawn mowing services; 561730 - Landscaping Services; 561730 - Lawn mulching services; 561790 - Cleaning (e.g., power sweeping, washing) driveways and parking lots; 561790 - Cleaning building exteriors (except sandblasting, window cleaning); 561790 - Drain cleaning services; 561790 - Driveway cleaning (e.g., power sweeping, washing) services; 561790 - Gutter cleaning services; 561790 - Lighting maintenance services (e.g., bulb and fuse replacement and cleaning); 561790 - Power washing building exteriors; 561790 - Pressure washing (e.g., buildings, decks, fences); 561790 - Snow plowing driveways and parking lots (i.e., not combined with any other service)",
"Family & Children’s Place, Inc.","Family & Children's Place","Mary Forsee","525 Zane St.","Louisville","KY","	40203","502-855-6067","502-893-9646","mforsee@famchildplace.org","http://www.familyandchildrensplace.org","62419 - Other Individual and Family Services",
"FEDERAL SIGNAL CORPORATION","","Katelyn Roe","2645 FEDERAL SIGNAL DRIVE","UNIVERSITY PARK","IL","	60484","708-534-3400","708-587-3585","upbids@federalsignal.com","http://www.federalsignal.com","334290 - Alarm system central monitoring equipment manufacturing; 334290 - Alarm systems and equipment manufacturing; 334290 - Other Communications Equipment Manufacturing; 334290 - Sirens (e.g., air raid, industrial, marine, vehicle) manufacturing",
"Ferreri Law Group PLLC","Ferreri Partners","Mary Booth","2410 Frankfort Avenue","Louisville","KY","	40206","502-459-2685","502-625-0050","mbooth@ferrerilaw.com","http://www.ferrerilaw.com","5411 - Legal Services",
"FIELDS SERVICE GROUP LLC","","Darian Fields","16924 Meander Way","Louisville","KY","	40245","502-365-8445","","fsgroupky@icloud.com","","56172 - Janitorial Services; 56173 - Landscaping Services; 56179 - Other Services to Buildings and Dwellings",
"Fieldtrip, LLC","","Jane Pfeiffer","642 S. 4th Street, Suite #400","Louisville","KY","	40202","502-882-9031","","janep@hellofieldtrip.com","http://www.wearefieldtrip.com","541430 - Graphic Design Services; 541511 - Custom Computer Programming Services; 541511 - WEB (i.e., internet) page design services, custom; 541613 - Marketing Consulting Services; 541810 - Advertising agencies; 541830 - Media Buying Agencies; 541870 - Advertising Material Distribution Services; 541910 - Marketing Research and Public Opinion Polling",
"Fisher & Phillips LLP","FisherPhillips","Karrie Tally","220 W. Main Street, Suite 1700","Louisville","KY","	40202","502-561-3990","502-561-3991","rhaley@fisherphillips.com","http://www.fisherphillips.com","541110 - Offices of Lawyers",
"Five Yellows LLC","","julio samayoa","1130 Minor Ln","Louisville","KY","	40219","502-291-7238","","info@fiveyellows.com","https://fiveyellows.com/","512110 - Motion Picture and Video Production; 541430 - Graphic Design Services; 541511 - Applications software programming services, custom computer; 541511 - WEB (i.e., internet) page design services, custom; 541613 - Marketing Consulting Services; 541810 - Advertising agencies; 541890 - Other Services Related to Advertising; 541922 - Commercial Photography",
"FLY HIGH USA LLC","","RALPH RIGDON","3111 CUB RUN HWY","MUNFORDVILLE","KY","	42765","270-473-1409","","contact@flyhighusa.com","http://www.flyhighusa.com","336411 - Target drones, aircraft, manufacturing",
"Fortune Investment Properties LLC","","Tessa Plummer","519 W Hill St","Louisville","KY","	40208","502-681-3400","","fortuneinvestmentprop@gmail.com","","53 - Real Estate and Rental and Leasing",
"Franklin Interior Systems LLC","","Adrian Franklin","2109 Fountain Crest Circle","Jeffersonville","IN","	47130","812-704-7315","812-704-7315","franklininterior@gmail.com","","236115 - New Single-Family Housing Construction (except For-Sale Builders); 236118 - Residential Remodelers; 236210 - Industrial Building Construction; 236220 - Commercial and Institutional Building Construction; 238130 - Framing contractors; 238310 - Drywall and Insulation Contractors",
"Fresh Start Washing","Fresh Start Washing","Mozziz Dewalt","2501 grand ave","LOUISVILLE","KY","	40210","502-536-8993","","freshstartwashing12@gmail.com","http://heritage vending","531 - Real Estate; 532 - Rental and Leasing Services; 533 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",
"GB Lead Services LLC","GB Lead Services","Trevor Vannieuwenhoven","1537 PARK PLACE STE 200A","GREEN BAY","WI","	54304","920-660-8819","920-405-9850","trevorv@gblead.com","http://gblead.com","562910 - Remediation Services",
"Girl Scouts of Kentuckiana","","Tonya Schweitzer","2115 Lexington Rd","Louisville","KY","	40206","502-636-0900","","tschweitzer@gskentuckiana.org","http://www.gskentuckiana.org","81 - Other Services (except Public Administration); 813410 - Girl guiding organizations",
"GLOBAL PROTECTION CORP","","David Gonzalez","12 CHANNEL STREET","BOSTON","MA","	","888-714-2200","617-946-3246","dgonzalez@globalprotection.com","http://www.globalprotection.com","31 - Manufacturing; 326299 - Condom manufacturing; 33911 - Medical Equipment and Supplies Manufacturing",
"Grace Industries, Inc.","","Barb Phillips","305 Bend Hill Road","Fredonia","PA","	16124","724-962-9231","724-962-3611","jcampman@graceindustries.com","http://www.graceindustries.com","922160 - Ambulance and fire service combined",
"GRW Engineers, Inc.","GRW","Jenny Dixon","404 Bna Dr, Suite 201","Nashville","TN","	37217","859-223-3999","","jdixon@grwinc.com","http://www.grwinc.com","541330 - Civil engineering services",
"Hamilton Investments llc","Hamilton Investments llc","Mauriece Hamilton","915 S 43rd St","Louisville","KY","	40211","502-608-1904","","hamiltoninvestmentslouisville@gmail.com","","53 - Real Estate and Rental and Leasing",
"Henry M. Enright","Hank Enright","HENRY ENRIGHT","553 Wooded Falls Rd.","Louisville","KY","	40243","502-295-5393","","hankenright@msn.com","","541930 - Interpretation services, language; 541930 - Language interpretation services; 541930 - Language translation services; 541930 - Translation services, language",
"Henry Schein, Inc.","","Scott Bruner","135 DURYEA RD E270","MELVILLE","NY","	11747","800-851-0400","866-738-8999","emsbids@henryschein.com","http://www.henryschein.com","339113 - Surgical Appliance and Supplies Manufacturing; 423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; 424210 - Drugs and Druggists' Sundries Merchant Wholesalers",
