Business Name,Address,Phone,Services / Products,Website,Minority Type
Ahava Center For Spiritual Living,"Lexington, 40503, Kentucky",+1 859-373-8910,,https://www.buyblack.org,Black-Owned
Albert Couture Specialties,"Lexington, Kentucky, 40507",(859) 433-9328,Modern craftsmanship in suiting,https://www.buyblack.org,Black-Owned
Alchemy,"7900 Shelbyville Rd. & 6301 Moonseed St., Louisville, KY",(502) 619-4778,"Venezuelan restaurant and food truck serving arepas, empanadas, and authentic Venezuelan plates",https://www.gotolouisville.com,Latino-Owned
"Alexandria Grayson, Re/Max Five Star Properties","Louisville, 40203, United States of America",859-684-9995,Real Estate,https://www.buyblack.org,Black-Owned
Alfalfa Restaurant,"Lexington, Kentucky, 40507",(859) 523-0426,Restaurant,https://www.buyblack.org,Black-Owned
Alfalfa'S,"Lexington, Kentucky, 40507",,,https://www.buyblack.org,Black-Owned
Align Total Wellness,,,Holistic health services including individual therapy and wellness coaching,https://www.thevillagelou.com,Black-Owned
All Gold Customs,,,,https://lul.org,Black-Owned
Anchal Project,"1229 S. Shelby St., Louisville, KY",,"Handcrafted textile products using recycled materials, organic fibers, and natural dyes; one-of-a-kind quilts made from upcycled saris",https://www.leoweekly.com,Women-Owned
Artfully Grazed,,,Charcuterie board arrangements,https://www.wlky.com,Black-Owned
Asé Massage,"Lexington, 40508, Kentucky",+1 859-247-9056,Massage,https://www.buyblack.org,Black-Owned
Ataumbi Metals,Wyoming,,Jewelry and metal art,https://www.powwows.com,Native American-Owned
Atayeelas Beauty Creations,"Lexington, Kentucky, 40503",(859) 457-7260,Eyebrow specialist,https://www.buyblack.org,Black-Owned
Aurora Gallery and Boutique,"1264 S. Shelby St., Louisville, KY",,Art gallery and boutique featuring gothic and macabre art,https://www.leoweekly.com,"Women-Owned, LGBTQ+-Owned"
AuroraAllure Salon,"Lexington, 40503, Kentucky",+1 859-692-7250,Salon,https://www.buyblack.org,Black-Owned
Avant Garde Systems,"Louisville, KY",,Electronic Security,https://www.procore.com,Minority-Owned (general)
Aviatra Accelerators,"114 W Pike St, Covington, KY 41011",,Business development service,https://www.everythingcincy.com,Women-Owned
BG Cake Shop,"Bowling Green, KY",,Bakery and cakes,https://queerkentucky.com,LGBTQ+-Owned
Barret Babes,"1000 Barret Ave., Louisville, KY",,"Communal shop hosting local artists, makers, resellers; vintage finds, handmade goods",barretbabes.com,LGBTQ+-Owned
Better Days Records,,,Record store specializing in vinyl music,https://www.wlky.com,Black-Owned
Better Days Records,"Louisville, KY",,Record store with two locations selling vinyl records,https://www.buyblackmainstreet.com,Black-Owned
Big Bar,,,"LGBTQ bar offering music, affordable drinks, RuPaul's Drag Race viewing parties, karaoke nights and drag performances",https://maps.apple.com,LGBTQ+-Owned
Big Bar,"1202 Bardstown Rd., Louisville, KY",,Bar with theme nights and community events,facebook.com/BigBarLouisville,LGBTQ+-Owned
Big Bar,"Louisville, KY",,LGBTQ+ cocktail bar,https://www.kentuckytourism.com,LGBTQ+-Owned
Bison Star Naturals,"Taos, New Mexico",,"Body care products made with organically, naturally and locally sourced ingredients",https://www.powwows.com,Native American-Owned
Black Business Association Corp,"4112 Springbourne Way, #102, Louisville, KY 40241-5179",,"Community-focused organization supporting and promoting black-owned businesses through networking events, educational workshops, and advocacy efforts",https://www.mapquest.com,Black-Owned
Blak Koffee,"West Jefferson Street, Louisville, KY",,Coffee shop,https://www.wlky.com,Black-Owned
Blak Koffee,"Louisville, KY",,"Coffee shop serving coffee, sandwiches, and breakfast",https://www.buyblackmainstreet.com,Black-Owned
Blitz Salon & Spa Suites,"S. 7th Street, Louisville, KY",,"Salon and spa suites for rent to beauty entrepreneurs, including private furnished suites with complimentary Wi-Fi and utilities",https://afrotech.com,"Black-Owned, Women-Owned"
Braxton Brewing Company,"Covington, KY",,Brewery with rooftop offering locally-crafted beers,https://www.kentuckytourism.com,
Brendon's Catch 23,"Louisville, KY",,Upscale seafood and steak restaurant featuring fresh daily seafood,https://www.buyblackmainstreet.com,Black-Owned
Bricolage Art Collective,"Paducah, KY",,Art collective and retail,https://www.insidehook.com,
Brooks BBQ 2,"Lexington, Kentucky",,Barbecue,https://www.supportblackowned.com,Black-Owned
Brough Brothers Bourbon,"Louisville, KY",,Bourbon distillery,https://www.ebony.com,Black-Owned
Brough Brothers Distillery,"Louisville, KY",,Bourbon whiskey distillery and bourbon shop,broughbrothers.com,Black-Owned
Brough Brothers Distillery,"Louisville, Kentucky",,"Bourbon distillery producing whiskey with a mash bill of 75 percent corn, 21 percent rye and four percent malted barley",https://www.distillerytrail.com,Black-Owned
Brough Brothers Distillery,"West End, Louisville, KY",,"Distillery producing bourbon, vodka, gin and rum",https://10best.usatoday.com,Black-Owned
Brough Brothers Distillery,,,Premium small-batch Kentucky bourbon,https://www.thevillagelou.com,Black-Owned
Build Fix Estimating LLC,"New York, NY",,"Cost estimation and quantities/materials takeoff services for residential, commercial, and industrial construction projects",https://www.procore.com,Veteran-Owned
Built By Bill Transmission & Engine Repair LLC,"Lexington, Kentucky",,Auto repair,https://www.supportblackowned.com,Black-Owned
"CORNERSTONE GEOTECH SERVICES, LLC","Louisville, KY",,"Cast In Place Concrete, Cast In Place Concrete Retaining Walls, Contaminated Soils Abatement and Remediation, Earthwork, Erosion and Sedimentation Controls, Geotechnical Investigations, Structural Design and Engineering",https://www.procore.com,Minority-Owned (general)
Cakes With An Attitude,"Lexington, Kentucky",,Deserts & Candy,https://www.supportblackowned.com,Black-Owned
Camp Bespoke,"Williamstown, Kentucky",,"Glamping site offering lodging in tipis, cottages, and cabins, with experiences including bourbon and wine packages, culinary arts, horseback riding, and Kentucky-themed excursions",www.campbespoke.com,"Black-Owned, Women-Owned"
Carali's Rotisserie Chicken,"Louisville, KY",,Peruvian-style rotisserie chicken,https://www.gotolouisville.com,Latino-Owned
Cargill Construction,"Louisville, KY",,"Cleaning Services, Final Cleaning, new construction and repairs/restoration cleaning services",https://www.procore.com,"Minority-Owned (general), Women-Owned"
Carmichael's Bookstores,,,"Independent bookstore with LGBTQ+ fiction and non-fiction, indie authors' works, candles, bookmarks and magnets",https://maps.apple.com,
Cedar,"Covington, KY",,Brunch spot serving upscale comfort food made from scratch with selection of spirits,https://www.kentuckytourism.com,
Chanel Nicole Co.,"Louisville, KY",,"Photography (headshots, personal branding) and website design",https://www.chanelnicoleco.com,Black-Owned
Charles Young Center,"Lexington, Kentucky",,Community Center,https://www.supportblackowned.com,Black-Owned
Cherry Pickin' Juicery and Goods,"NuLu, Louisville, KY",,Juicery and goods,https://www.wlky.com,Women-Owned
Chicago Jerk Tacos,"Louisville, Kentucky",,Caribbean cuisine including jerk chicken and seafood tacos,https://pm.bhhspw.com,Black-Owned
Chicagos Jerk Tacos,"West End, Louisville, KY",,"Caribbean food truck and ghost kitchen serving jerk tacos, quesadillas, and walking tacos",https://www.buyblackmainstreet.com,Black-Owned
Chill BAR Highlands,,,"LGBTQ nightclub offering trivia nights, karaoke, dance parties, cocktails, and show-tune sing-alongs",https://maps.apple.com,LGBTQ+-Owned
Chill Bar,"Louisville, KY",,Gay bar with patio,https://www.kentuckytourism.com,LGBTQ+-Owned
Coleman Crest Farm,,,Farm,https://www.pbs.org,Black-Owned
"Consultants With Energy, LLC",,,"Energy project expertise, contingent staffing, turnkey project management, contract engineers, inspectors, field testing technicians, startup and commissioning, decommissioning, commercial operations",https://www.procore.com,Veteran-Owned
Core Element,"Bowling Green, KY",,Yoga studio,https://queerkentucky.com,LGBTQ+-Owned
Cornerstone Engineering,"Louisville, KY",,"Architectural Design and Engineering, Asbestos Abatement and Remediation, Assessments and Studies, Civil Design and Engineering, Design and Engineering, Design Coordination Services, Environmental Assessment, General Construction Management, Geophysical Investigations, Geotechnical Investigations, Structural Design and Engineering, Value Analysis Engineering",https://www.procore.com,Minority-Owned (general)
Crazy Fox Saloon,"Covington, KY",,Neighborhood bar,https://queerkentucky.com,LGBTQ+-Owned
Creative House of Design,"Covington, KY",,DIY craft supplies and workshops,https://queerkentucky.com,LGBTQ+-Owned
Cultured – Cheese & Charcuterie Bar,"1007 E Main St., Louisville, KY",,Curated charcuterie boards and full bar,culturedcheeseshop.com,LGBTQ+-Owned
Curate & Plate,,,Boutique tablescape business offering unique dinnerware pattern rentals for events,https://www.leoweekly.com,"Women-Owned, Asian-Owned"
Custom LogoWare,"Lexington, KY",,Custom promotional products and event swag,https://queerkentucky.com,LGBTQ+-Owned
"DB Bourbon Candy, LLC","Frankfort, KY",,"Bourbon balls and candy with 38 different flavors, chocolate covered grapes, pineapples, and strawberries",https://nkaa.uky.edu,Black-Owned
Dasha Barbours,"Main Street, Louisville, KY",,Restaurant and bar serving southern classics and new American cuisine including chicken and waffles and fried green tomatoes,https://www.buyblackmainstreet.com,Black-Owned
Dazee Studio,"800 Envoy Circle, Louisville, KY",,"Beauty studio specializing in waxing, brows, lashes, and skincare",instagram.com/dazee.studio,LGBTQ+-Owned
Dee's Detail Shop,"Lexington, Kentucky",,Car Wash and Detailing,https://www.supportblackowned.com,Black-Owned
Dee'z Bowtie's,"Lexington, Kentucky",,Men's accessories,https://www.supportblackowned.com,Black-Owned
Delray's,"Murphy Lane, Louisville, Kentucky",,Soul food and Southern comfort cuisine including rib tips and chicken,https://pm.bhhspw.com,Black-Owned
Dermalounge,"723 Buttermilk Pike C, Crescent Springs, KY 41017",,Medical spa,https://www.everythingcincy.com,Women-Owned
Dirty Tease,"Louisville, KY",,T-shirts and apparel,https://queerkentucky.com,LGBTQ+-Owned
Doh Lyfe Clothing,,,"Urban streetwear apparel including graphic tees, hoodies and sweatshirts",https://www.thevillagelou.com,Black-Owned
Dragon King's Daughter,"Louisville, KY",,Sushi restaurant with unique take on Japanese dishes,https://www.kentuckytourism.com,
Elaine Allen,,859-221-1563,"Comprehensive construction management services including Project Management, Cost Estimating, Scheduling, Contract Administration and Change Order Management",https://locateinlexington.com,Minority-Owned (general)
Epping's on Eastside,"Lexington, KY",,"Upscale dining with Drag Brunch, featuring house-cured meats and local ingredients",https://www.kentuckytourism.com,
"Equity Solutions Group, LLC","Lexington, Kentucky",800-215-0175,Strategic sourcing firm with an emphasis on expense reduction while ensuring competitive participation,https://locateinlexington.com,Minority-Owned (general)
Etkie,New Mexico,,Luxury cuffs handcrafted by Native American artisans,https://www.powwows.com,Native American-Owned
Exclusiv Urban,"Lexington, Kentucky",,Urban,https://www.supportblackowned.com,Black-Owned
Fable Charcuterie,"Lexington, Kentucky",,Charcuterie,https://delaneyrwells.com,Women-Owned
"Facilities Maintenance & Services Group, LLC",,833-225-3267,"Maintenance, janitorial and cleaning services, Commercial Cleaning, Pressure Washing, Construction Cleanup, High Dusting, Residential Cleaning, and Grounds Keeping",https://locateinlexington.com,Minority-Owned (general)
Fly Girl Candles,,,Hand-poured soy candles and wax melts,https://www.thevillagelou.com,Black-Owned
Four Pegs,"Louisville, KY",,"Gastropub restaurant and bar serving chili, smokehouse classics, and creative menu items",https://www.buyblackmainstreet.com,Black-Owned
Four Pegs,"Louisville, Kentucky",,"Smokehouse offering comfort foods, craft beers, burgers, sandwiches, and brunch",https://pm.bhhspw.com,Black-Owned
Fresh Bourbon Distilling Co.,"Lexington, KY",,"Bourbon and whiskey distillery, tours, guided tastings, event space",www.freshbourbon.com,Black-Owned
Fresh Bourbon Distilling Company,"Lexington, KY",,Bourbon distillery,https://10best.usatoday.com,Black-Owned
Golden Aesthetic Atelier,"11421 Main St., Louisville, KY",,Beauty and spa services,https://www.leoweekly.com,Women-Owned
Grassa Gramma,"Louisville, KY",,"Gay-owned Italian restaurant featuring pizza, pasta, and Italian wine",https://www.kentuckytourism.com,LGBTQ+-Owned
Guidon Design,,,"Healthcare-focused architecture and engineering, Architectural Design, Building Information Modeling, Civil Design, Electrical Design, Interior Design, Mechanical Design, Structural Design, Project Management",https://www.procore.com,Veteran-Owned
Gustavo's Mexican Grill,"401 S. Hurstbourne Pkwy & 10715 Meeting St., Louisville, KY",,Authentic Mexican restaurant serving signature fajitas and margaritas,https://www.gotolouisville.com,Latino-Owned
Handzy Shop + Studio,"421 W 6th St, Covington, KY 41011",,"Boutique for women's clothing, accessories, stationery, greeting cards, and gifts",https://www.everythingcincy.com,Women-Owned
Happy Belly Bistro,"1020 E Washington St., Louisville, KY",,Food truck serving bold fusion eats,happybellybistro.com,"Black-Owned, LGBTQ+-Owned"
Harvey's Bar,"Lexington, Kentucky",,Bar,https://delaneyrwells.com,Women-Owned
"Helios Energy, LLC",,,"Electrical contractor, LED lighting retrofits, HVAC modernization, BMS, IAQ, air quality, solar energy, BESS, microgrids",https://www.procore.com,Veteran-Owned
"Helping Hand, LLC",,859-576-6187,"Apartment services for college students including Valet Waste Services, Moving Services, Cleaning services, and Apartment Turn Services",https://locateinlexington.com,Minority-Owned (general)
Hip Hop Sweet Shop,"Louisville, KY",,"Hip hop themed dessert shop serving cookies, pies, banana pudding, ice cream, and milkshakes",https://www.buyblackmainstreet.com,Black-Owned
Hofbräuhaus,"Newport, KY",,"Beer garden serving traditional German food including pretzels, schnitzel and beer",https://www.kentuckytourism.com,
IMS Contracting,,,"General Contractor specializing in Demolition, Project Management and Coordination, Rough Carpentry",https://www.procore.com,Veteran-Owned
Imanka,"737 South 8th Street, Louisville, KY",,Halal Somali restaurant,https://www.zabihah.com,Muslim-Owned
Indi's Fast Food,"Lexington, Kentucky",,Fast Food,https://www.supportblackowned.com,Black-Owned
Indigenous Cosmetics,Colorado,,Natural cosmetics made in small batches and hand-poured,https://www.powwows.com,Native American-Owned
"InstaBrakes, L.L.C.","Lexington, 40517, United States of America",+1 859-368-2000,,https://www.buyblack.org,Black-Owned
"Integrity Insurance Group, LLC","Lexington, 40511, United States of America",+1 859-800-4946,,https://www.buyblack.org,Black-Owned
Jack's Sandbar & Grill,"Lexington, Kentucky, 40503, United States",(859) 309-3211,,https://www.buyblack.org,Black-Owned
Jackson's Car Detailing Services,"Lexington, 40511, United States of America",+1 859-410-0050,,https://www.buyblack.org,Black-Owned
Jasmine Rice Thai Restaurant,"Lexington, 40511, United States of America",+1 859-303-4986,,https://www.buyblack.org,Black-Owned
Jessica's body Boutique,"Lexington, 40508, United States of America",+1 859-693-3431,,https://www.buyblack.org,Black-Owned
Joella'S Hot Chicken (Lexington Franchise),"Lexington, Kentucky, 40502, United States",,,https://www.buyblack.org,Black-Owned
Judy hair braiding,"Lexington, 40509, United States of America",+1 281-902-2746,,https://www.buyblack.org,Black-Owned
Julia beauty african braiding,"Lexington, 40503, United States of America",+1 859-492-4522,,https://www.buyblack.org,Black-Owned
KFR Drink,"Louisville, KY",,Water kefir fermented probiotic soda,https://queerkentucky.com,LGBTQ+-Owned
KW Apothecary,,,"Desserts, teas, herbs and spices",https://www.wdrb.com,Black-Owned
Kahawa Java,"Owensboro, Kentucky",,"Gourmet coffee shop serving coffee, teas, matcha, and pastries; offers catering and coffee services at events; hosts spoken word and live music performances",https://www.blackbusiness.com,"Black-Owned, Women-Owned"
Kentucky Blended Nutrition,"Lexington, Kentucky",,Health & Wellness,https://www.supportblackowned.com,Black-Owned
Kentucky Center for African American Heritage,"Louisville, KY",,"Cultural preservation space, art gallery for visual and performing artists, and event center",https://www.buyblackmainstreet.com,Black-Owned
Kentucky Native Cafe,"Lexington, KY",,"Outdoor cafe at Michler's Greenhouse serving beer, wine, and fresh vegetarian dishes",https://www.kentuckytourism.com,
Kentucky SCORE,"614 W. Main Street, Suite 6000, Louisville, KY, 40202",(502) 888-4543,,https://ambergrantsforwomen.com,
Krazy Decor,"Louisville, Kentucky",,Interior design services and home decor products,https://pm.bhhspw.com,Black-Owned
Le Moo,"2300 Lexington Rd., Louisville, KY",,Steakhouse with drag brunches,lemoorestaurant.com,LGBTQ+-Owned
Le Moo,"Louisville, KY",,"Award-winning steakhouse, Sunday drag brunches",https://www.kentuckytourism.com,LGBTQ+-Owned
Lead to Love,,,"Self-care products including body butter, body oils, bath bombs, and lip balm",https://www.thevillagelou.com,Black-Owned
Leeta Ruth Boutique,"325 Elm St, Ludlow, KY 41016",,Women's clothing store,https://www.everythingcincy.com,Women-Owned
Little Black Dress Catering,"Lexington, Kentucky",,Caterer,https://www.supportblackowned.com,Black-Owned
Lockbox,"Lexington, KY",,Restaurant at 21c Museum Hotel offering locally grown food including Steak Frites and Farm Egg Frittata,https://www.kentuckytourism.com,
LouaBull,"1015 E Main St., Louisville, KY",,"Gift shop with tees, cards, and local products",louabull.com,LGBTQ+-Owned
Louabull,"NuLu neighborhood, Louisville, KY",,"Queer graphic t-shirts, gifts, and souvenirs",https://www.kentuckytourism.com,LGBTQ+-Owned
Louisville Cream,"Louisville, KY",,Artisan small batch ice cream made from local ingredients,https://www.buyblackmainstreet.com,Black-Owned
Louisville Food Tours,,,"Food, history, and walking tours throughout Louisville including Nulu, Highlands, and Phantoms Of Prohibition tours",https://www.leoweekly.com,"Women-Owned, Latino-Owned"
Louisville Food Tours,"Louisville, KY",,Food and history walking tours,https://www.insidehook.com,
Lussi Brown Coffee Bar,"Lexington, KY",,Coffee bar,https://queerkentucky.com,LGBTQ+-Owned
Lussi Brown Coffee Bar,"Lexington, KY",,"Lesbian-owned coffee shop and bar serving coffee, sweets, and specialty cocktails",https://www.kentuckytourism.com,"LGBTQ+-Owned, Women-Owned"
"M&M Services Company, Inc.","229 Midland Trail, Mt. Sterling, KY 40353",859-499-3201,"Highway services, bridge repairs, bridge building, industrial services, rumble strip services, general contracting, latex modified concrete, hydro demolition, asphalt milling, pavement markers",http://www.mmservicesky.com,Veteran-Owned
Mack Brothers BBQ,"Louisville, KY",,Barbecue restaurant,https://www.ebony.com,Black-Owned
Made in Brazil Food Truck,,(801) 455-6673,Brazilian food truck serving deep fried pastries and churrasco bowls,https://www.gotolouisville.com,Latino-Owned
Madkind Design,"1860 Mellwood Ave, Studio 156, Louisville, KY",,Food & beverage branding and design company,https://www.leoweekly.com,Women-Owned
Making Good Scentz,"Downtown Bardstown, KY",,Retail shop,https://www.kentuckytourism.com,LGBTQ+-Owned
Matters of the Heart Smell Goodz,,,Scented products including aromatherapy oils and scented candles,https://www.thevillagelou.com,Black-Owned
McCarthy's,"Lexington, Kentucky",,Bar,https://delaneyrwells.com,
Melodeon,"Lexington, Kentucky",,Event space,https://delaneyrwells.com,Women-Owned
Moonlight Pathways,"Pikeville, KY",,Metaphysical and spiritual products,https://queerkentucky.com,LGBTQ+-Owned
Mr. G-Pleta Puerto Rican Food Truck,,(502) 715-9573,Puerto Rican food truck serving tripleta sandwiches and non-alcoholic Piña Coladas,https://www.gotolouisville.com,Latino-Owned
Muhammad Ali Center,"Louisville, KY",,"Museum and cultural center dedicated to Muhammad Ali, featuring exhibits on his legacy and hosting community programs for respect and social change",https://www.buyblackmainstreet.com,
Nativas,,,Handmade products by Indigenous Colombian women,https://spectrumnews1.com,Women-Owned
Native American Capital,"11710 Plaza America Drive, Suite 2000, Reston, VA 20190-4743",+1 (703) 587-8908,"Native American-owned financial consultancy specializing in NMTC financing, tribal finance, and enterprise-level financing for Native American tribes and businesses",https://nativeamericancapital.com,Native American-Owned
Naturally Me 502,,,"Handmade, plant-based skincare and haircare products including whipped body butter, hair growth oil, and sugar scrubs",https://www.thevillagelou.com,Black-Owned
Never Too Much,"West 6th Street, Lexington, KY",,Ice cream shop and creamery with unlimited toppings,https://spectrumnews1.com,Black-Owned
Old Louisville Coffee Co-op,"316 W Ormsby Ave, Louisville, KY 40203",,"Coffee shop offering coffee, housemade scones, housemade hummus, and other treats",https://www.oldlouisvillecoffeecoop.com/,LGBTQ+-Owned
Old Louisville Coffee Co-op,"316 W Ormsby Ave., Louisville, KY",,"24/7 café, coffee, drag shows, open mics, poetry readings",louisville.coffee,LGBTQ+-Owned
Old Louisville Coffee Co-op,,,"Queer-owned cafe and gathering space hosting open mic nights, comedy performances, rap nights, teach-ins, drag and burlesque shows, skill shares and clothing swaps",https://maps.apple.com,LGBTQ+-Owned
Ole E's Rubs & Spices,,,Rubs & Spices,https://melannaire.com,Black-Owned
Our Magic Years Childcare Center,"Lexington, Kentucky",,Tutoring & Teaching,https://www.supportblackowned.com,Black-Owned
PK Powders,,,"Holistic skincare and wellness products, facial and body treatments including signature facials, body exfoliation, and aromatherapy massage",https://www.thevillagelou.com,Black-Owned
Paint NKY,"4931 Houston Rd SUITE B, Florence, KY 41042",,Nail salon,https://www.everythingcincy.com,Women-Owned
Panchitos Ice Cream,"8118 Preston Hwy., Ste 100 & 2545 Bardstown Rd., Louisville, KY",(502) 554-6222,"Mexican ice cream shop serving mangonadas, aguas frescas, popsicles, tacos, and Mexican snacks",https://www.gotolouisville.com,Latino-Owned
Patriot Group,Kentucky,502-576-6187,"Independent insurance agency providing insurance products and risk management solutions for businesses, specializing in commercial insurance and risk management",https://locateinlexington.com,Minority-Owned (general)
Paxton's,"NuLu, Louisville, KY",,All men's clothing store,https://www.wlky.com,Women-Owned
Pelo West,"140 N Fourth St #1700, Louisville, KY",,Urban luxury spa and hair care services,https://www.leoweekly.com,Women-Owned
Play,"Louisville, KY",,Drag performance venue and bar,https://www.insidehook.com,
Play Dance Bar,"1101 E Washington St., Louisville, KY",,LGBTQ+ nightclub hosting drag shows and dance nights,louisville.playdancebar.com,LGBTQ+-Owned
Play Dance Bar,,,"LGBTQ+ dance club with DJ sets, drag shows, cocktails, and booth/table rentals",https://maps.apple.com,LGBTQ+-Owned
Play Louisville,"Louisville, KY",,LGBTQ+ nightclub with multiple dance floors,https://www.kentuckytourism.com,LGBTQ+-Owned
Playground Abode,"Jeffersontown, KY",,Indoor playspace focused on play-based learning for children,https://www.wlky.com,Black-Owned
Playground Abode,"Louisville, KY",,"Indoor playground for children under 8, offering playtime and birthday parties",https://www.buyblackmainstreet.com,Black-Owned
Poppin' Flavors,,,Gourmet popcorn in unique flavors and gift baskets,https://www.thevillagelou.com,Black-Owned
"Printcore, Inc",,859-351-4596,Printing and packaging products,https://locateinlexington.com,Minority-Owned (general)
Proof on Main,"Louisville, KY",,"Fine dining restaurant located in 21c Museum Hotel, featuring dishes like Steelhead Trout and Proof Bison Burger",https://www.kentuckytourism.com,
Pur Lux Spa,"Allen, KY",,Spa services,https://queerkentucky.com,LGBTQ+-Owned
Queer Kentucky,"Louisville, Kentucky",,"Nonprofit magazine focusing on Kentucky's queer culture and health through storytelling, workshops, and community events",QueerKentucky.com,LGBTQ+-Owned
"REBOUND, Inc.",,,"Revitalize neighborhoods in low-to-moderate income households and create vibrant, stable, and inclusive homes",https://anchor.fm,
Red Planet Books & Comics,"Albuquerque, New Mexico",,"Comics, toys, games, kid's books and pop art from Native and Indigenous artists",https://www.powwows.com,Native American-Owned
Red Tree,"701 E Market St., Louisville, KY",,"Furniture and home décor, artisan-crafted pieces",redtreenulu.com,LGBTQ+-Owned
Residence Inn Louisville Downtown,"Louisville, KY",,Hotel accommodations,https://www.ebony.com,Black-Owned
Revelry Boutique Gallery,,,"Boutique and gallery selling LGBTQ+ art and designs, home goods, jewelry, apparel and accessories, hosting rotating exhibitions from local artists",https://maps.apple.com,
Revival Vintage,"Covington, KY",,Rare and vintage spirits,https://queerkentucky.com,LGBTQ+-Owned
Roots 101 African Museum,"Louisville, KY",,"Museum showcasing African American History, Culture and Art",https://www.buyblackmainstreet.com,Black-Owned
S and C Market and Deli,"Lexington, Kentucky",,Grocery Store,https://www.supportblackowned.com,Black-Owned
Sam's Hot Dog Stand,"Lexington, KY",,Hot dogs,https://queerkentucky.com,LGBTQ+-Owned
Scooter Media,"823 Scott St, Covington, KY 41011",,Public relations firm,https://www.everythingcincy.com,Women-Owned
Scout & Scholar Brewing Co.,"Bardstown, KY",,Brewery specializing in house-made brews and menu items like Bacon BBQ Patty Melt and Fried Chicken Sandwich,https://www.kentuckytourism.com,
Seafood Lady,"Louisville, KY",,Seafood restaurant,https://www.ebony.com,"Black-Owned, Women-Owned"
Semper Tek Inc.,,,"General construction, design-build services for federal government projects including Department of Veterans Affairs, GSA, Army Corps of Engineers, U.S. Air Force, FHA, National Guard, and U.S. Army",https://www.sempertekinc.com,"Veteran-Owned, Disability-Owned"
Senor Pupusas,"8118 Preston Hwy., Louisville, KY",(502) 235-6679,Authentic Central American and Honduran food specializing in pupusas,https://www.gotolouisville.com,Latino-Owned
Sensuous Lash Studio,"Louisville, KY",,"Lash service, mink eyelashes, lip gloss & pencil, press on nails, vending machines",https://www.womanownedwallet.com,"Women-Owned, Black-Owned"
Sequoia Soaps,,,Handmade natural soaps,https://www.powwows.com,Native American-Owned
Set & Setting,"1512 Portland Ave., Louisville, KY",,Curated bookstore featuring titles by LGBTQ+ authors,setandsettingshop.com,"LGBTQ+-Owned, Women-Owned"
Shearer Dentistry,"1335 Hansel Ave, Florence, KY 41042",,"General, Family, & Cosmetic Dentistry",https://www.everythingcincy.com,Women-Owned
