Business Name,Address,Phone,Services / Products,Website,Minority Type,Status,Kentucky Based
"ABATOR INFORMATION SERVICES, INC.","615 South Avenue, Pittsburgh, PA, 15221",(412) 271-5922 or (800) 544-1210 Fax: (412) 271-5833,"Related Services: 518210 - Specializing in application hosting, computer data storage services, data entry services and web hosting; 541511 - Specializing in custom computer applications software programming services, custom computer program or software development, custom computer programming servi",https://www.abator.com,Women-Owned,Active,No
"ABBIE JONES CONSULTING, PSC d/b/a ABBIE JONES CONSULTING","1022 Fontaine Road, Lexington, KY, 40502",(859) 699-3440,"Related Services: 541330 - Specializing in engineering consulting services, Engineering design services, and Traffic engineering consulting services; 541360 - Specializing in services for Geological surveying, Geophysical mapping, Geophysical surveying, and Mapping, geophysical; and 541370 - Special",https://www.abbie-jones.com,Women-Owned,Active,Yes
"ABEL ENTERPRISES, INC. d/b/a ABEL BUILDING SYSTEMS","47 Techview Drive, Cincinnati, OH, 45215",(513) 772-0401  Fax: (513) 772-2604,"Related Services: 238210 - Specializing in specifically alarm system (e.g., fire, burglar), electric, installation only; Burglar alarm system, electric, installation only; Cable splicing, electrical or fiber optic; Cable television hookup contractors; Communication equipment installation; Computer a",https://www.abelbuildingsystems.com,"Black-Owned, Women-Owned",Active,No
"ABSOLUTE STAFFING & CONSULTING SOLUTIONS, LLC","221 Cherokee Drive, Westminster, MD, 21157",(410) 848-9480 or (443) 794-2148,Related Services: 524291 – Specializing in Insurance/Workers compensation claims; 541990 – Specializing in Legal file document preparation services (reviewing and preparing legal files for litigation for the insurance industry and third part administrators); and 561320 – Specializing in medical clai,https://www.ascs1.com,"Black-Owned, Women-Owned",Active,No
"AC DISASTER CONSULTING, LLC","1800 Glenarm Place, Ste 300, Denver, CO, 80202",(940) 367-8094 or (214) 808-4626,"Related Services: 236220 – Commercial and Institutional Building Construction; 541330 – Specializing in Value engineering consulting services for developing scopes, cost estimates, and high-level conceptual concepts for engineering projects. (They do not sign and seal documents or prepare designs or",https://www.acdisaster.com,Women-Owned,Active,No
"AD EAST, INC.","324 East Main Street, Hazard, KY, 41701",(606) 439-3865  Fax: (606) 439-0722,"Related Services: 323111 – Specializing in address lists commercial printing (except screen) without publishing; advertising materials (e.g., coupons, flyers) commercial printing (except screen) without publishing; business directories and forms commercial printing (except screen) without publishing",https://www.adeast.com,Women-Owned,Active,Yes
"AD SWAILES, LLC d/b/a A & A PREMIUM PAINT DISTRIBUTOR","5661 3rd Street, NE, #233, Washington, DC, 20011",(202) 409-5173 Fax:  (202) 722-2754,"Related Services/BROKER: 423830 - Specializing in Spray painting equipment, industrial type; 424950 - Specializing in Paint removers; Paint rollers; Painter's supplies (except artists', turpentine); Paints (except artists'); Pigments, paint; Shellac; Spray painting equipment (except industrial-type)",https://www.aapremiumpaintdistributor.com,Black-Owned,Active,No
"ADAMS HIGHWAY SERVICES, INC.","10305 Trotters Pointe Drive, Unit 102, Louisville, KY, 40241",(859) 619-6933 or (606) 424-3841,Related Services: 561990 - Specializing in flagging services,https://N/A,Women-Owned,Inactive,Yes
ADVANTAGE GLOBAL LOGISTICS,"20 Mazzeo Drive, Suite 224, Randolph, MA, 2368",(781) 986-3832 or (781) 962-3866 Fax: (781) 986-3834,"Related Services: 488510 - Specializing in shipping agents, customs brokers, freight forwarding, marine shipping agency, and shipping agents (freight forwarding)",https://www.maureenpowersagency.com,Women-Owned,Active,No
"AE Associates, LLC","N/A, Louisville, KY, N/A",502-295-4574,"Purchase, renovates, lease and sell of residential properties, Case Management and social services supports (assist with social security disability application, Medicare, Medicaid application) and Advocacy and community building and organizing",http://www.aeassociatesllc.net/,"Minority-Owned (general), Women-Owned",Active,Yes
"AERIAL INNOVATIONS SOUTHEAST, INC.","202 S. 17th Street, Nashville, TN, 37206",(615) 650-2002 or (615) 415-7397 Fax: (615) 650-2111,"Related Services: 512110 - Specializing in commercials, television, production; film studios - producing films; films - motion picture production, instructional video production, motion picture and video production, motion picture production, video production and distribution; 541922 - Specializing ",https://www.aerialsoutheast.com,Women-Owned,Active,No
"AGENCY TITLE, INC.","6520 Glenridge Park Place, Suite 1, Louisville, KY, 40222",(502) 339-1145 Fax: (502) 339-1147,"Related Services: 541191 – Specializing in Settlement real estate offices, Title abstract companies, Title companies and Title search companies",https://www.AgencyTitle.com,"Latino-Owned, Women-Owned",Active,Yes
"AGRADE CONSTRUCTION, INC.","PO Box 1227, Elkhorn City, KY, 41522",(606) 369-5044 or (606) 754-8548 Fax: (606) 754-5775,"Related Services: 237110 - Specializing in Sewer and water distribution line construction; Fire hydrant installation; Hydrant and flushing hydrant installation; Water and sewage system pumping station construction; Reservoir construction; Sanitary sewer construction; Sewer main, pipe and connection,",https://N/A,Women-Owned,Inactive,Yes
"AIRPORT CONTRACTORS SERVICES, LLC","540 N. State Road 434, Suite 9501, Altamonte Springs, FL, 32714",(407) 722-1735 Fax: (678) 840-2137,"Related Services: 238990 - Specializing in cleaning new building interiors immediately after construction including maintenance and repairs; 
541611 - Specializing in Administrative management consulting services; 541612 - Specializing in Human resource consulting services; and Personnel management ",https://N/A,Women-Owned,Inactive,No
ALISON & ASSOCIATES,"290 Bon Harbor Cove, Owensboro, KY, 42301",(270) 684-4244 or (270) 570-1740 Fax: (270) 685-1530,"Related Services: 541890 - Specializing in Advertising specialty (e.g., keychain, magnet, pen) distribution services",https://www.alisonandassociates.com,Women-Owned,Active,Yes
"ALLEN ENGINEERING, INC.","2509 Lenlake Court, Lexington, KY, 40513",(859) 229-7362,"Related Services: 237310 – Specializing in curbs and street gutters, highway, road and street, highway construction and road construction, sidewalk construction; and 237990 – Specializing in drainage project construction

Prequalified Consultant: surveying

Prequalified: sidewalk, entrance pavement,",https://N/A,Women-Owned,Inactive,Yes
ALLSOURCE CONSTRUCTION SUPPLY,"PO Box 30898, Portland, OR, 97294",(503) 858-8922 or (503) 919-0126 Fax: (503) 620-5786,"Related Services: 423320 – Brick, Stone, and Related Construction Material Merchant Wholesalers; 423330 – Roofing, Siding, and Insulation Material Merchant Wholesalers; 423390 – Other Construction Material Merchant Wholesalers; 423610 – Electrical Apparatus and Equipment, Wiring Supplies, and Relate",https://www.asupply.net,Women-Owned,Active,No
"AMERICAN CONSTRUCTION SUPPLIES, INC.","2373 60th Avenue, Osceola, WI, 54020",(651) 235-3325,"Material Supplier: 423320 - Specializing in concrete mixtures, mason's materials, plaster and stucco; 423390 - Specializing in wire fencing and fencing accessories, silt fence and other fabrics (e.g., for erosion control); 423810 - Specializing in construction and mining, crushing, pulverizing and s",https://www.americanconstructionsupplies.co,Women-Owned,Active,No
"ANDIS, LLC","7897 Tippenhauer Road, Highland Heights, KY, 41076",(859) 743-2502,"Related Services: 237130 - Specializing in utility tower demolition; 238910 - Specializing in grading, land clearing, back filling and demolition; 561730 - Specializing in seeding, sodding, silt fencing, and 562910 - Remediation Services",https://www.andisllc.com,Women-Owned,Inactive,Yes
"ANNE MORRIS AND ASSOCIATES, LLC","425 Holly Street, Columbia, SC, 29205",(803) 771-9105 or (803) 429-7849,Related Services: 541620 - Environmental Consulting Services; and 611430 - Professional and Management Development Training,https://N/A,Women-Owned,Inactive,No
"APK Development & Construction, LLC","N/A, Louisville, KY, N/A",502-714-8416,Development and construction,,Minority-Owned (general),No Website,Yes
APK Development and Construction,"1015 S 4th Street, Louisville, KY, 40203",502-714-8416,Affordable Housing Real Estate Development.,,Minority-Owned (general),No Website,Yes
"ARCG CONSTRUCTION GROUP, LLC","3220 Tara Gale Drive, Louisville, KY, 40204",(502) 593-2881 or (502) 510-9080,"Related Services: 236118 – Specializing in Addition, alteration and renovation of single-family dwellings, for-sale builders, and general contractors, Building, residential, addition, alteration and renovation, Construction management, residential remodeling, Handyman construction service, residenti",https://www.ARGCconstructiongroup.com,Black-Owned,Active,Yes
"ARCHANGEL PROTECTIVE SERVICES, INC.","444 Metroplex Drive, Suite B-201, Nashville, TN, 37211",(615) 712-9759 or (615) 589-2502 Fax: (615) 784-4827,"Related Services: 561612 - Specializing in guard services; parking security services; patrol services, security; protective guard services; security guard services; and security patrol services; 561621 – Specializing in alarm system monitoring services; and 611519 – Specializing in security guard tr",https://www.archangelusa.com,"Black-Owned, Women-Owned",Active,No
"ARMAND RESOURCE GROUP, INC.","One University Plaza, Suite 314, Hackensack, NJ, 7601",(201) 357-8725 or (973) 207-0645 Fax: (201) 357-8727,Related Services: 541611 – Specializing in administrative management consulting services; business management consulting services; general management consulting services; and strategic planning consulting services; 541613 – Specializing in marketing consulting services and marketing management consu,https://www.argdiversity.com,Black-Owned,Active,No
"ASC GROUP, INC.","800 Freeway Drive, North, Suite 101, Columbus, OH, 43229-5439",(614) 268-2514 or (614) 310-3540  Fax: (614) 268-7881,Consultant: 541360 – Specializing in Geophysical surveying services; 541370 – Specializing in Photogrammetric mapping services (Drone); 541620 – Specializing in Environmental consulting services; 541690 – Specializing in Biological consulting services and Energy consulting services; and 541720 – Spe,https://www.ascgroup.net,Women-Owned,Active,No
"ASC Group, Inc.","800 FREEWAY DRIVE N, STE 101, COLUMBUS, OH, 43229",614-268-2514,Environmental and Archeological Research consulting.,http://www.ascgroup.net,Women-Owned,Active,No
"ASP INDUSTRIES, INC.","9 Evelyn Street, Rochester, NY, 14606",(585) 254-9130 Fax: (585) 254-9139,"Related Services: 332119 - Specializing in metal stampings (except automotive, cans, coins), unfinished, manufacturing; 332312 - Specializing in fabricated structural metal manufacturing; and 332322 - Specializing in sheet metal work (except stampings), manufacturing",https://www.aspindustries.com,Women-Owned,Active,No
"ASPIRE ENGINEERING, PLLC","4644 Catalpa Court, Burlington, KY, 41005",(859) 312-8434,"Related Services: 541330 – Specializing in Engineering consulting services; Engineering design services; Engineering services; and Traffic engineering consulting services 

Prequalified Consultant: rural and urban roadway design (conditional); utility design - electrical - level 1, gas level 1, and ",https://N/A,Women-Owned,Inactive,Yes
"ATLANTIC PETROLEUM & MINERAL RESOURCES, INC.","1445 N. Loop, W, #242, Houston, TX, 77008",(713) 223-2767 Fax: (713) 223-5797,"Concessionaire/Material Supplier: 424690 - Specializing in antifreeze and chemical additives (e.g., fuel, oil); 424710 -  Specializing in petroleum bulk stations and terminals; 424720 - Specializing in liquefied petroleum gas (LPG) (except Bulk Stations and Terminals) and lubricating oils and grease",https://www.atlanticpetro.com,Black-Owned,Active,No
"ATLAS PRODUCE, LLC","PO Box 61091, Dayton, OH, 45406",(614) 623-7235 or (937) 684-0968 Fax: (937) 278-0042,Concessionaire/Related Services: 424490 – Other Grocery and Related Products Merchant Wholesalers,https://www.atlasproduce.net,Black-Owned,Active,No
"AU Development, LLC","N/A, Wilmore, KY, N/A",859-420-2009,Low income housing developer,,Minority-Owned (general),No Website,Yes
"AU Management, LLC","N/A, Lexington, KY, N/A",859-233-2009,Property management for apartments,https://www.AUAssociates.com,Women-Owned,Active,Yes
"AUTOMATED ENTERPRISES, LLC","136 Forum Drive, Suite 4, Columbia, SC, 29229",(757) 272-6487,Related Services: 541611 – Administrative Management and General Management Consulting Services,https://www.armbrustent.com,Black-Owned,Active,No
"AVIATION ALLIANCE, INC.","PO Box 799, Colleyville, TX, 76034",(817) 498-0388 or (817) 485-0253 Fax: (817) 281-1867,"Related Services: 236220 - Specializing in specifically commercial and institutional building addition, alteration and renovation, industrial warehouse addition, alteration and renovation, airport building construction, commercial building construction, and fire station construction; 488119 - Specia",https://www.AviationAllianceInc.com,Women-Owned,Active,No
"AXIS MEDICAL MANAGEMENT, LLC","PO Box 88, Cub Run, KY, 42729",(270) 524-0490 or (270) 524-3528  Fax: (866) 759-0944,Related Services: 621999 – Specializing in medical case management services,https://www.axismm.com,Women-Owned,Active,Yes
"AYOROA SIMMONS, LLC","266 E. Short Street, Suite 140, Lexington, KY, 40507",(703) 686-8855,"Related Services: 541340 - Specializing in Drafting services, 3D Modeling and BIM (Building Information Modeling) services",https://www.ayoroasimmons.com,Latino-Owned,Active,Yes
"Abbie Jones Consulting, PSC","1022 Fontaine Rd, Lexington, KY, 40502",859-559-3443,"Engineering - Land Surveying, Project Management;",http://www.abbie-jones.com,Women-Owned,Active,Yes
"Abbie Jones Consulting, PSC","N/A, Lexington, KY, N/A",859-559-3443,"Floodplain consulting, storm water & transportation design, erosion control designs & inspections, sanitary design, construction, staking, topographic surveys, urban highway design, traffic counts, elevation certificates, mortgage inspections & residential surveys & subsurface utility engineering (S",https://abbie-jones.com,Women-Owned,Active,Yes
"Abundant Living Psychological and Coaching Services for Children and Adolescents, PLLC","N/A, Lexington, KY, N/A",859-229-6823,"Counseling, coaching and consulting",http://www.abundantlivingpsychologicalandcoachingservices.com/,"Minority-Owned (general), Women-Owned",Active,Yes
"Accessibility Consultants, Inc.","N/A, Alexandria, VA, N/A",703-798-4563,Expert accessibility consultant,https://www.accessibilityconsultants.net,"Minority-Owned (general), Women-Owned",Inactive,No
Accurate Drug & DNA Testing,"820 South 6th Street, Louisville, KY, 40203",502-456-5111,"DNA, Drug, Alcohol testing",http://accuratedruganddnatesting.com,Women-Owned,Active,Yes
"Acorn Distributors, Inc","5820 Fortune Circle West Drive, Indianapolis, IN, 46241",317-243-9234,"We provide general/paper/cleaning products, chemicals, and equipment for janitorial and food-service needs, as well as provide maintenance/equipment service, to our customers across several market segments, including governmental agencies, hospitality/lodging, restaurant/bakery/catering, manufacturi",http://www.acorndistributors.com,Women-Owned,Active,No
"Acuity Packaging & Logistics Solutions, LLC","N/A, Louisville, KY, N/A",502-368-0681,"Thermoform design & manufacturing, contract packaging, distribution, inventory management, storage & logistics support",https://www.acuitypls.com,Women-Owned,Active,Yes
Aebersold Florist Inc,"1217 Silver Street, New Albany, IN, 47150",812-945-2544,"Dried Floral Products, Floral Plants, Non Flowering Plants, Delivery",,Women-Owned,No Website,No
"Agency Title, Inc.","N/A, Louisville, KY, N/A",502-339-1145,"Title examination, title insurance and escrow services, and real estate closings",http://www.agencytitle.com/,"Latino-Owned, Women-Owned",Active,Yes
"Ah, Whatta 'Bout Mimi, LLC","701 West Market St, Louisville, KY, 40202",502-583-4933,"Employee recognition, balloon decor and gift baskets. Retail location, as well as deliveries in Louisville and Southern IN. Gifts shipped nationally.",,Women-Owned,No Website,Yes
"All Painting Plus, LLC","N/A, Louisville, KY, N/A",502-552-2284,"Commercial/Residential painting, pressure washing, wall-covering, drywall",,Women-Owned,No Website,Yes
"AllStar Staffing, LLC","N/A, Florence, KY, N/A",859-445-4880,"Staffing for healthcare facilities: CNA, KMA, LPN & RN",https://www.allstarstaffing1.com,Women-Owned,Inactive,Yes
Allterrain Paving and Construction LLC,"2235 Corydon Pike, New Albany, IN, 47150",502-265-4729,"Sealcoating, Asphalt Paving, Pavement marking, Sanitary Storm Sewer Repair & Installation, Concrete Flat work, Streetscapes, Drainage Improvement projects",http://apc-construct.com,Women-Owned,Active,No
"American Cost Consultant Realty, LLC","N/A, Lexington, KY, N/A",859-351-6917,"Acquire, repair, maintain and rent residential real estate",,Minority-Owned (general),No Website,Yes
"American Metals Supply Company, Inc.","1617 Park 370 Court, Hazelwood, MO, 63042",636-349-5560,"Wholesale distributor of galvanized steel and other metals for HVAC (Heating, Ventilating, Air Conditioning ) and related supplies such as flexible duct, spiral pipe and fittings, registers, grilles and diffusers, duct liner and duct hanging accessories. We sell to mechanical contractors, sheet meta",http://www.americanmetalssupply.com,Women-Owned,Active,No
Anchor Point Technology Resources Incorporated,"N/A, Indianapolis, IN, N/A",317-225-4141,"Provides IT and engineering staffing services. Services include permanent placement, contract and contract - to - hire",https://www.anchorpointtr.com,Women-Owned,Active,No
"Andrea Moore, LLC","N/A, Louisville, KY, N/A",502-881-1186,"Long haul delivery, local delivery, and counseling services",,"Minority-Owned (general), Women-Owned",No Website,Yes
Andrew Kung Group LLC,"506 Baxter Ave, Louisville, KY, 40204",502-804-4940,"Our main area of expertise is in commercial brand development, digital marketing media, lifestyle and consumer product photography and video, interior design and architecture photography and video, food, beverage and restaurant photography and video, portraits, editorials and beauty and fashion phot",http://www.andrewkung.com,Minority-Owned (general),Active,Yes
"AngelFlight Marketing Services, Inc.","329 West 18 Street, Suite 605, Chicago, IL, 60616",312-933-1878,"Market Research , Public Polling, Graphic Design and mailing services.",http://www.angelfly.com,Minority-Owned (general),Active,No
"Asset Management Strategies, LLC","N/A, Union, KY, N/A",859-384-8986,"Investment, insurance & retirement planning (business, nonprofit & individual)",https://www.AssetManagementStrategiesllc.com,Women-Owned,Active,Yes
"Atomic Cowgirl, Inc.","1430 Mellwood Avenue, Louisville, KY, 40206",502-585-4099,"Manufacture of indoor and outdoor signs, banners, sign installations",http://www.signaramadowntown.com,Women-Owned,Active,Yes
"Atomic Cowgirl, Inc. dba Signarama Downtown","N/A, Louisville, KY, N/A",502-585-4099,"Indoor and outdoor sign design, production and install; Company rebranding from concept to installation",https://www.signarama.com/ky-louisville-downtown,Women-Owned,Active,Yes
"Audio Communications Consultants, Inc.","N/A, Memphis, TN, N/A",901-332-8888,"Audio/Video Contractor, intercom systems, nurse call systems, audio visual systems, sound systems for football stadiums, baseball stadiums, arenas & performing arts theatres",https://www.audiocominc.com,Women-Owned,Active,No
"Aunt Peaches Catering - Food Truck, LLC","N/A, Paris, KY, N/A",859-619-9456,"Mobile catering services and catering for weddings, corporate events, factories, school systems, etc.",https://www.auntpeachescatering.com,"Minority-Owned (general), Women-Owned",Inactive,Yes
"Aviation Alliance, Inc.","101 Timberline Dr. North, Colleyville, TX, 76034",817-498-0388,"Engineering services, technical services, electric power distribution;",http://www.aviationallianceinc.com,Women-Owned,Active,No
"B & T BEARING, INC.","4880 KNOB CREEK RD, BROOKS, KY, 40109",502-922-0010,Machine Shops; Ball and Roller Bearing Manufacturing,http://www.btbearing.com,Women-Owned,Active,Yes
"B & T Bearing, Inc.","N/A, Brooks, KY, N/A",502-922-0010,"Manufacturing air cargo ball-roller transfer units, rollers, and pop up stops",http://www.btbearing.com/,Women-Owned,Active,Yes
B-WISE Consulting LLC,"272 Suncrest Drive, Greenwood, IN, 46143",317-509-2762,"B-WISE provides environmental compliance services, including, but not limited to, permitting, testing, auditing, and consulting.",http://www.b-wiseconsulting.com,Women-Owned,Active,No
"B. E. Reed, LLC","4355 Ringstead Way, Indianapolis, IN, 46235",773-209-8016,"Consultant firm that provides infrastructure solutions for public and private owners by specializing in civil/process design, program management and construction contract administration.",,Minority-Owned (general),No Website,No
B.L.S. AVIATION,"931 Hemlock Street, Micco, FL, 32976",(315) 440-8584,"Related Services: 488119 – Other Airport Operations; 541611 – Administrative Management and General Management Consulting Services; 541614 – Process, Physical Distributions, and Logistics Consulting Services; and 541618 – Other Management Consulting Services",https://N/A,Women-Owned,Inactive,No
"BAILEY CONSTRUCTION & GENERAL CONTRACTING, LLC","9002 Big Boulder Drive, Louisville, KY, 40291",(502) 333-4768,"Related Services: 236118 - Specializing in the addition, alteration and renovation (i.e., construction) of multifamily building, residential building, single-family dwellings, for-sale builders, multifamily building, general contractors; residential building, for-sale builders; residential building,",https://www.baileycgc.com,Black-Owned,Inactive,Yes
"BAR-TIE REINFORCING, INC.","1520 Adams Road, Owingsville, KY, 40360",(606) 674-9413 Fax: (606) 674-9413,"Related Services: 238120 – Specializing in concrete reinforcement placement, erecting structural steel, Iron work, structural contractors, placing and tying reinforcing rod at a construction site, rebar contractors, reinforcing rod, bar, mesh and cage installation, reinforcing steel contractors, ste",https://N/A,Women-Owned,Inactive,Yes
"BARMAC, LLC","PO Box 2296, Millstone, KY, 41838",(606) 253-9452,"Related Services: 238910 - Specializing in Demolition contractor; Demolition, building and structure; Exterior demolition contractors; Interior demolition contractors; 238990 – Specializing in chain link fence installation and fence installation (except electronic containment fencing for pets); and ",https://www.barmacllc.com,Women-Owned,Inactive,Yes
"BARR ENGINEERING, INC. / d/b/a NATIONAL ENGINEERING & ARCHITECTURAL SERVICES, INC.","2800 Corporate Exchange Drive, Suite 240, Columbus, OH, 43231",(614) 714-0299 Fax: (614) 714-0251,"Consultant: 541330 - Specializing in Civil engineering services, Construction engineering services, Engineering design services, Engineering services, and Geological engineering services; and 541380 - Specializing in Geotechnical testing laboratories or services, Laboratory testing (except medical, ",https://www.neasinc.com,Asian-Owned,Active,No
"BASELINE SUPPLY, LLC","65 Turnberry Drive, Monroe Township, NJ, 8831",(732) 835-2080 or (917) 301-1512 Fax: (888) 398-2080,"Material Supplier: 423310 - Specializing in lumber (e.g., dressed, finished, rough); plywood; 423320 - Specializing in asphalt and concrete mixtures; building blocks (e.g., cinder, concrete); concrete building products; concrete mixtures; sand (except industrial); 423330 - Specializing in roofing ma",https://N/A,Women-Owned,Inactive,No
"BATTLE AXE CONSTRUCTION, LLC","11435 Sebring Drive, Cincinnati, OH, 45240",(513) 874-4695 Fax: (513) 874-4694,"Related Services: 237310 - Specializing in asphalt paving; concrete paving; and curbs and street gutters, highway, road, street and bridge; 238910 - Specializing in backfilling, construction; building demolition; concrete breaking and cutting for demolition; demolition contractor; demolition, buildi",https://www.battleaxeconstruction.com,Black-Owned,Active,No
"BENSON GROUP, LLC","101 N. 7th Street, Louisville, KY, 40202",(502) 767-6878 or (502) 561-3494 Fax: (502) 415-7413,Related Services: 541612 - Specializing in Employee assessment consulting services; Employee compensation consulting services; Human resource consulting services; Labor relations consulting services; Organization development consulting services; Personnel management consulting services; 561311 - Spe,https://www.bensongroupllc.com,Black-Owned,Active,Yes
"BERRY'S CLEANUP, LLC","2321 Alice Kay Drive, Louisville, KY, 40214",(502) 715-9792 or (502) 408-9598,"Related Services: 561720 - Specializing in Janitorial Services; 561730 - Specializing in Lawn care services (e.g., fertilizing, mowing, seeding, spraying), Lawn mulching services, Seasonal property maintenance services (i.e., snow plowing in winter, landscaping during other seasons), Snow plowing se",https://N/A,Black-Owned,Inactive,Yes
"BIG MEADOW OIL, INC.","PO Box 2099, Glasgow, KY, 42141",(270) 834-0066,"Material Supplier: 457210 - Specializing in Fuel oil (i.e., heating) dealers, direct selling; Heating oil dealers, direct selling and 484220 - Specializing in tanker trucking (e.g., chemical, juice, milk, petroleum), local",https://www.bigmeadowoil.com,Women-Owned,Inactive,Yes
"BISON SERVICES, LLC","7152 North AA Highway, Foster, KY, 41043",606-747-0322,HVAC,http://bison_service.com,Minority-Owned (general),Inactive,Yes
"BLACK HABEAS ENTERPRISE, LLC","3888 Springtree Drive, Owensboro, KY, 42301",(612) 562-4258,Related Services: 238990 – All Other Specialty Trade Contractors; and 561720 – Janitorial Services,https://N/A,Black-Owned,Inactive,Yes
BLEDSOE'S BUTTONS & MORE,"PO Box 1621, Harlan, KY, 40831",(606) 273-5456 or (606) 738-8480,"Related Services: 323111 – Specializing in Address lists commercial printing (except screen) without publishing, Advertising materials (e.g., coupons, flyers) commercial printing (except screen) without publishing, Albums (e.g., photo, scrap) and refills manufacturing, Art prints commercial printing",https://N/A,Women-Owned,Inactive,Yes
"BLUE CYPRESS CONSULTING, LLC","315 W. Ponce de Leon Avenue, Suite 905, Decatur, GA, 30030",(470) 322-5100 or (404) 824-7607,Related Services: 541320 – Specializing in Urban planning services; and 541620 – Specializing in Environmental consulting services,https://www.BlueCypress-Consulting.com,Women-Owned,Active,No
"BLUE WING ENVIRONMENTAL, LLC","19607 Lake Osceola Lane, Odessa, FL, 33556",(813) 404-3963,Related Services: 541620 - Specializing in ecological restoration consulting services; environmental consulting services; and wetland restoration planning services,https://www.bluewingenv.com,Women-Owned,Inactive,No
"BLUEGRASS LIGHTNING CONSULTANTS, INC.","315 Chaplain Road, Bloomfield, KY, 40008",(502) 673-8866  Fax: (502) 673-8833,"Related Services: 238290 - Specializing in the installation of lightning protection equipment systems, lightning rods and conductors",https://www.bluegrasslightning.com,Women-Owned,Active,Yes
