Commonwealth of Kentucky Minority and Women Business Enterprise Certification Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Acuity Packaging & Logistics Solutions, LLC ",2027-06-30 00:00:00,WBE,Manufacturer,"Thermoform design & manufacturing, contract packaging, distribution, inventory management, storage & logistics support",Kimberly L. Woolery,Jefferson,Louisville,KY,502-368-0681,https://www.acuitypls.com/
"Ada Contracting, Inc.",2029-01-30 00:00:00,MWBE,Supplier/Distributor,Reseller of commercial and construction materials and facilities supplies,Stephanie Inderlied,,Virgina Beach,VA,757-620-3920,https://adacontracting.com/
"Adams & Associates Realty, Inc. dba Century 21 Pinnacle",2027-03-30 00:00:00,WBE,Professional Services,Offices of real estate agents & brokers; list & sell real estate in Central Kentucky,Cassandra Adams,Madison,Berea,KY,859-314-7878,https://www.realtyworldadams.com/
"AD-ios Digital Media, LLC",2026-05-30 00:00:00,WBE,Professional Services,"A custom website design/development, SEO and internet marketing/consulting company. They offer front-end designers and full-stack developers. Clients range from small to medium-sized businesses in a multitude of industries. We particularly specialize in working with; Contractors, Government, Health Care, Real Estate, Manufacturers, Service Based & Saas",Crystal Geis,Jessamine,Nicholasville,KY,859-724-5740 ,https://ad-ios.com/
"AE Associates, LLC",2028-01-30 00:00:00,MWBE,Professional Services,"Purchase, renovates, lease and sell of residential properties, Case Management and social services supports (assist with social security disability application, Medicare, Medicaid application) and Advocacy and community building and organizing",Angela Brewer,Jefferson,Louisville,KY,502-295-4574,http://www.aeassociatesllc.net/
"Aequitas Power Company, LLC",2027-05-30 00:00:00,MBE,Contractor,"Highway and bridge construction, landscaping services, site preparation contractors, and low voltage and telecommunications cabling installation",Jorge Diaz,Shelby,Shelbyville,KY,502-257-3518,https://www.aequitaspower.com
"aFit Staffing, Inc.",2028-01-30 00:00:00,WBE,Other ,Information technology staffing services,Julie Phillips,Marion,Indianapolis,IN,317-418-5062,https://afitstaffing.com/
Agape Administrative Services,2026-08-30 00:00:00,MWBE,Professional Services,Administrative and clerical services to other businesses and non-profit organizations,Ericka Seward,Jefferson,Louisville,KY,502-802-8354,www.agapeadminservices.com
"Agency Title, Inc.",2028-08-30 00:00:00,MWBE,Professional Services,"Title examination, title insurance and escrow services, and real estate closings",Beth Rojas,Jefferson,Louisville,KY,502-339-1145,http://www.agencytitle.com/
Aimee Staats dba Dakota Consulting,2027-05-30 00:00:00,MBE,Consultant,Management consulting,Aimee Staats,,Fair Oaks,CA,916-342-1667,https://www.dakotaconsulting.com/
"AK Services, LLC",2026-08-30 00:00:00,MWBE,Subcontractor,"Commercial concrete injection services, structural epoxy injection, waterproofing polyurethane injection, and chemical grout injection",Kristin Kaufman,Jefferson,Louisville,KY,270-556-0053,https://akservicesllc.com/
"AKT Logistics, LLC",2027-05-30 00:00:00,WBE,Trucking,Providing general transportation for freight,Katherine Ashley Reisig,Madison,Richmond,KY,859-353-8137,https://aktlogistics.com/
"Aligne Consulting, LLC",2028-01-30 00:00:00,MWBE,Consultant,"Diversity, equity, inclusion and belonging consulting",Birungi Namubiru Ives,Jefferson,Louisville,KY,310-606-9879,https://www.a-ligne.com/
"All American Sheet Metal, LLC Zip Heating and Cooling",2027-10-30 00:00:00,MBE,Subcontractor,HVAC installation,Christopher Vickers,,Sellersberg,IN,812-620-6110,
"All Painting Plus, LLC ",2027-06-30 00:00:00,WBE,Contractor,"Commercial/Residential painting, pressure washing, wall-covering, drywall ",Melissa Snider-Long,Jefferson,Louisville,KY,502-552-2284,
"Alliance in Staffing, LLC",2027-03-30 00:00:00,MBE,Contractor,Staffing firm and labor temp agency for construction labor and manufacturing labor,Keith Brooks,Jefferson,Louisville,KY,502-419-2385,https://www.allianceinstaffing.com/
Anchor Point Technology Resources Incorporated,2027-12-30 00:00:00,WBE,Professional Services,"Provides IT and engineering staffing services. Services include permanent placement, contract and contract - to - hire",Julie Kennedy,Marion,Indianapolis,IN,317-225-4141,https://www.anchorpointtr.com/
"Andrea Moore, LLC",2028-04-30 00:00:00,MWBE,Contractor,"Long haul delivery, local delivery, and counseling services",Andrea Moore,Jefferson,Louisville,KY,502-881-1186,
"Anointed Hands Painting, LLC",2027-07-30 00:00:00,MBE,Contractor,Professional painting for commercial and residential interior and exterior,Michael Adams,Fayette,Lexington,KY,859-475-2276,https://www.anointedhandspainting.com/
"Anthony Quarles Counseling, PLLC dba Quarles Counseling",2028-04-30 00:00:00,MBE,Professional Services,Mental health counseling services,Anthony Quarles Jr.,Kenton,Covington,KY,479-222-1927,https://www.aquarlescounseling.com/
"APK Development & Construction, LLC",2028-08-30 00:00:00,MBE,Other ,Development and construction,"Matthew Harrell, Sr.",Jefferson,Louisville,KY,502-714-8416,
"ARGC Construction Group, LLC",2026-02-28 00:00:00,MWBE,Subcontractor,Interior and exterior remodeling services for residential and commercial projects,Alisia Richardson,Jefferson,Louisville,KY,502-593-2881,https://argcconstructiongroup.com/
Arrow Strategy Group,2026-02-28 00:00:00,MBE,Professional Services,"Media relations, public affairs, public relations, marketing and graphic design",Steve Patterson,Dyer,Lake,IN,312-504-7848,https://arrowstrategygroup.com/
Ascension Strategies LLC,2028-01-30 00:00:00,MWBE,Consultant,"Coaching, executive training, and business consulting",DeVon Hankins,Jefferson,Louisville,KY,502-320-1216,https://www.ascensionstrat.com/
"Ashley Morgan Interiors, LLC",2028-07-30 00:00:00,WBE,Professional Services,Interior design services and sales,Ashley Bruggeman,Fayette,Lexington,KY,859-363-5773,https://www.ashleymorgan-interiors.com
"Aspire Engineering, PLLC",2026-02-28 00:00:00,WBE,Professional Services,Civil engineering consulting services,Alison Chadwell,Boone,Burlington,KY,859-312-8434,
"Asset Management Strategies, LLC",2026-06-30 00:00:00,WBE,Professional Services,"Investment, insurance & retirement planning (business, nonprofit & individual)",Dawne A. Ferland,Boone,Union,KY,859-384-8986,https://www.assetmanagementstrategiesllc.com/
"Atomic Cowgirl, Inc. dba Signarama Downtown",2026-12-30 00:00:00,WBE,Retail,"Indoor and outdoor sign design, production and install; Company rebranding from concept to installation",Maggie Harlow,Jefferson,Louisville,KY,502-585-4099,https://signarama.com/locations/ky-louisville-downtown/
"Audio Communications Consultants, Inc. ",2026-12-30 00:00:00,WBE,Contractor,"Audio/Video Contractor, intercom systems, nurse call systems, audio visual systems, sound systems for football stadiums, baseball stadiums, arenas & performing arts theatres ",Shelby J. Wilhelm,Shelby,Memphis,TN,901-332-8888,http://audiocominc.com/
"Aura Staffing Partners Chicago, LLC",2028-04-30 00:00:00,WBE,Professional Services,Healthcare staffing,Gretchen Rakowicz & Becky Whamond,,Chicago,IL,781-205-9190,https://aurastaff.com/
Aurelo Financial Holdings LLC dba The ATM Girl,2028-01-30 00:00:00,MWBE,Other ,Placement and service of cash ATMs in businesses,Arial Boulware,Jefferson,Louisville,KY,502-216-9848,
"Bailey Safety, Inc. ",2028-02-28 00:00:00,WBE ,Consultant,Consulting & training for construction & general industry ,Nancy Bailey ,Jefferson,Louisville,KY,502-291-0596,https://www.baileysafety.com/
"Baker Contracting, LLC ",2026-08-30 00:00:00,WBE,Contractor,"Commercial concrete work including curb and gutter, foundations, sidewalks, and slabs, demolition and excavation",Mary Jo Baker,Allen,Alvaton,KY,270-646-7947,https://www.bakerconcretecontracting.com/
"Baptizer Business Solutions, LLC",2028-05-30 00:00:00,MBE ,Consultant,Business and personal consulting ,"Ronald N. ""Toby"" Baptise",Logan,Russellville ,KY,270-791-1141,https://www.baptizerbusinesssolutions.com/
"Barmac, LLC  ",2028-04-30 00:00:00,WBE,Subcontractor,"Fencing, fence installation, landscaping, earth moving, site prep and road building",Joann McElroy,Letcher,Millstone,KY,606-253-9452,https://barmacllc.com/
"Barnett Mechanical Services, LLC ",2026-10-30 00:00:00,MBE,Contractor,"Commercial plumbing & HVAC estimating, material & equipment  procurement, mechanical trades subcontractor management, commercial plumbing & HVAC install","John W. Barnett, Jr. ",Franklin,Columbus ,OH,614-438-7556,https://www.barnettmechanicalservices.com/
"Bathroom Besties, LLC ",2028-05-30 00:00:00,MBE ,Retail,Bathroom products and specialties ,"Ronald N. ""Toby"" Baptise",Logan,Russellville ,KY,270-791-1141,
"Beloz, LLC dba Beloz Language Services   ",2026-05-30 00:00:00,MBE,Professional Services,Interpreting and translation services,Faddy Mambandu,Jefferson,Louisville,KY,502-333-2475,https://beloz.net/
"Benson Group, LLC",2028-07-30 00:00:00,MBE,Consultant,Workforce development training,Alan D. Benson,Jefferson,Louisville,KY,502-767-6878,https://bensongroupllc.com/
"Bentley Capital Ventures, LLC  ",2026-10-30 00:00:00,MBE,Professional Services,"Real Estate development, property management, and consulting services",Colby Bentley,Jefferson,Louisville,KY,502-681-3572,
"Better Cleaning Services, LLC",2026-05-30 00:00:00,MBE,Contractor,Janitorial services,Marcus Anderson & Melvin Weathers,Jefferson,Louisville,KY,502-414-4388,https://bcservs.com/
Bhavana Foods LLC dba Super Foods Veda,2028-01-30 00:00:00,MWBE,Manufacturer,Catering and food manufacturing,Bhavana Barde,Jefferson,Louisville,KY,812-786-3084,https://superfoodveda.com/
"Bison Services, LLC",2026-11-30 00:00:00,MBE,Contractor,HVAC & electrical,"Jason Meloche, Jr.",Bracken,Foster,KY,606-747-0322,
"Blaze Enterprises, LLC ",2027-12-30 00:00:00,WBE,Contractor,"Waste removal, roll off containers, environmental services, towing & storage",Cammille Anderson,Powell,Clay City,KY,606-663-1003,https://blaze.enterprises/
"Bluegrass Lightning Consultants, Inc.",2029-04-30 00:00:00,WBE,Contractor,"Grounding, lightning, consulting, TVSS, and testing",Kris Phillips Bratten,Nelson,Bloomfield,KY,502-727-1461,https://bluegrasslightning.com/
"BMO Creative, LLC",2026-05-30 00:00:00,WBE,Professional Services,"Professional services, consultant services, inspection services, media management, and marketing management within the construction industry",Brandy Littrell,Bullitt,Mount Washington,KY,502-492-8555,http://bmocreativellc.com/
"Bond Precision Contracting, LLC",2027-10-30 00:00:00,MBE,Contractor,"Construction, inspection, supply, and consulting","Jerry Bond, Jr.",Jefferson,Louisville,KY,(502) 428-7260,https://bondprecisioncontracting.com/
Bondtech Corporation,2026-06-30 00:00:00,MWBE,Manufacturer,"Manufacturer of autoclave & autoclave doors, autoclave bags & medical waste containers",Elsa Brown,Pulaski,Somerset,KY,606-677-2616,https://bondtech.com/
"Book & Balances, Inc.",2028-08-30 00:00:00,WBE,Professional Services,Virtual back office and client advisory services for small businesses,Arla Wallace,Kenton,Taylor Mill,KY,502-767-5145,
"Booker Design Collaborative, LLC",2028-04-30 00:00:00,WBE,Professional Services,"Landscape architecture, urban planning, urban design, master planning, and sustainability",Kristin Booker,Jefferson,Louisville,KY,502-795-7788,https://www.booker-design.com/
"BookNerdFam, LLC",2028-01-30 00:00:00,MWBE,Retail,"Book sales, education book parties, book fairs, and marketing solutions for indie authors",Deondra Lanee' Smith,Jefferson,Louisville,KY,594-8222,https://booknerdfam.com/
"Braco, Inc.",2028-07-30 00:00:00,WBE,Non-Professional Services,Supply dumpsters & temporary fence panels for customers to rent,Brittany Hazelwood,Henderson,Henderson,KY,270-826-3867,https://bracoinc.com/
"BrainSTEM, LLC",2027-10-30 00:00:00,MBE,Professional Services,"STEM Education, Educational Software, Curriculum Educational Games, Metaverse, Augmented Reality, and Game Development",Ricky Mason,Jefferson,Louisville,KY,502-821-8960,https://brainstemedtech.com/
Brandt Enterprises dba NewCon Cleaning,2028-11-30 00:00:00,WBE,Non-Professional Services,"Professional cleaning of new construction and commercial accounts, including flooring and windows",Kathleen Louise Brandt,Warren,Bowling Green,KY,270-303-3959,https://www.newconcleaning.com/
"Bridge to Restoration, LLC ",2026-08-30 00:00:00,MWBE,Professional Services,Psychotherapy services,Nicole Clement,Warren,Bowling Green,KY,502-509-7001,https://www.bridgetorestoration.org/
"Briljent, LLC",2028-01-30 00:00:00,WBE,Professional Services,"Technical writing, project management, instructional design, training, change management, meeting facilitation, e-learning, delivery of customized training, staff augmentation, professional services, business analyst services, program evaluation, help desk support, community outreach, research, web services, adult learning, curriculum design and delivery, and HIT strategic development",Kathy Carrier,Allen,Fort Wayne,IN,260-434-0990,http://www.briljent.com/
"BTI Contracting, Inc.",2027-12-30 00:00:00,WBE,Contractor,"Asphalt seal coating, asphalt & concrete stripping, excavating, asphalt paving & trucking",Lisa Dean,Boyd,Catlettsburg,KY,606-739-0049,
"Butler & Associates, LLC dba Ignians, Inc.",2029-02-28 00:00:00,MWBE,Other ,"Nutrition supplements (protein powders, vitamins, etc.), recipes, and meal planners",Ramona Butler,Jefferson,Louisville,KY,502-663- 9406                       502-500-4275,https://www.ignians.com/
"Butler Supply, Inc.",2028-07-30 00:00:00,WBE,Supplier/Distributor,"Wholesale distributor of electrical, industrial, and lighting products",Deborah Kuempel,,Fenton,MO,636-349-9000,https://www.butlersupply.com/
"BWI Contractors, LLC  ",2026-10-30 00:00:00,MBE,Contractor,General construction,"Gary Hobbs, Sr.",Marion,Indianapolis,IN,317-377-1790,https://www.bwillc.com/
"C. Dobbs, LLC",2026-07-30 00:00:00,WBE,Consultant,Consulting & management services for health/wellness products & services with a focus on workplace environments,Courtney Dobbs,Jefferson,Louisville,KY,502-643-6953,
"Carolyn's Crown & Glory Hair Salon, LLC",2029-02-28 00:00:00,MWBE,Other,"Perms, press & curls, haircuts, blow dries, relaxers, equipment & supplies ",Carolyn Dunn,Fayette,Lexington,KY,859-266-8389,
Catrina South dba C South Solutions,2029-01-30 00:00:00,WBE,Professional Services,"Life insurance, fixed annuities, retirement planning, legacy planning, income replacement, debt protection, educational funds, LTC, charitable giving, business insurance, key man insurance, and business protection products",Catrina Renee South,Fayette,Lexington,KY,513-926-8985,https://csouthsolutions.com/
"Certified Flux Solutions, LLC",2027-08-30 00:00:00,WBE,Manufacturer,Manufacturer of flux products provided to the secondary aluminum industry,Lisa Shemwell,Butler,Morgantown,KY,270-526-8600,https://www.certifiedflux.com/
"Childress & Associates, LLC",2028-07-30 00:00:00,WBE,Consultant,Environmental consulting services including Phase I environmental site assessments & environmental screenings,Anne Childress,Fayette,Lexington,KY,859-338-3771,https://www.childressassociates.biz/
"Chloeta Holdings, LLC dba Chloeta ",2027-10-30 00:00:00,MBE,Professional Services,"Natural resources & emergency management operations, planning & consulting wildland firefighting & related products & services ",Mark Masters,Delaware,Jay,OK,877-245-6382,https://www.chloeta.com/
"Cinga Technologies, LLC",2028-04-30 00:00:00,MBE,Professional Services,"Technology products, services, and solutions for federal, state, and localgovernment agencies, school districts, and business clients",Jeron Campbell,,Albequere,NM,505-506-1186,https://cingatech.com/
"Civil Design, Inc.",2026-05-30 00:00:00,WBE,Professional Services,"Civil engineering, structural & land surveying services",Vicki S. LaRose,St. Louis,St. Louis,MO,314-863-5570,https://www.civildesigninc.com/
"CJ Sports Marketing, LLC dba Ballpark Collectibles  ",2026-05-30 00:00:00,WBE,Contractor,Sales of sports licensed products,Rhonda Bailey,Boone,Union,KY,859-803-0466,
"CKF Enterprises, Inc.",2028-01-30 00:00:00,WBE,Professional Services,"Professional development training, information technology training, and safety/compliance training.",Crinda Francke,Fayette,Lexington,KY,859-271-0296,http://www.executrain.com/
"Cleangoodeats, LLC ",2026-08-30 00:00:00,MWBE,Consultant,"Cooking classes, catering, corporate and private events, health/food coaching",Dr. Sakinah Bunch,Hardin,Radcliff,KY,502-233-3020,https://cleangoodeats.com/
"Clear Choice Services, LLC",2027-03-30 00:00:00,WBE,Subcontractor,"Concrete finishing, excavation, and heavy equipment operation",Kelly Kitts,Kenton,Covington,KY,859-816-6321,"Please provide website address, if applicable"
"Clear Choice Trucking, LLC",2027-03-30 00:00:00,WBE,Trucking,Dump trucks,Kelly Kitts,Kenton,Covington,KY,859-816-6321,"Please provide website address, if applicable"
"Clinical Solutions, LLC",2028-01-30 00:00:00,WBE,Other ,Pharmacy services to correctional facilities,Christi Throneberry,Williamson,Franklin,TN,615-403-4422,http://www.clinicalsolutionspharmacy.com/
"CMec, LLC",2028-01-30 00:00:00,WBE,Consultant,"Environmental consulting including Phase I and II Environmental Site Assessments, Asbestos inspections, lead-based paint inspections, and indoor air quality inspections, and remediation services",Suzanne Arnzen,Jefferson,Louisville,KY,502- 489-0850,http://www.cmecenvironmental.com/
"CMG, Inc.",2029-01-30 00:00:00,WBE,Other,Leasing and renovation of properties,Christina Griffith,Kenton,Crescent Springs,KY,859-640-1936,
"CMLC Consulting, LLC",2028-01-30 00:00:00,MWBE,Consultant,Building information modeling (BIM) drafting services and construction cost estimating,Daniel Jose Mulamoottil,Jefferson,Louisville,KY,502-523-0599,https://cmlcconsulting.com/
"CMS Solutions, LLC",2029-01-30 00:00:00,WBE,Other,Third party fleet management and roadside assistance provider for commercial vehicles,Christina Bingham,Boone,Burlington,KY,859-393-9445  859-286-4725,https://mycmspro.com/
"Colibri Design Collective, LLC",2029-01-30 00:00:00,WBE,Consultant,"Immersive design, world-building, strategic storytelling, grant and innovation strategy, experience design, brand identity systems, architectural concept development, themed
entertainment strategy, universal design consulting, and creative sprint facilitation",Cheryl Nachbauer,Kenton,Covington,KY,513-375-5511,
"Command Marketing Innovations, LLC",2029-04-30 00:00:00,WBE,Professional Services,Data-driven print and multi-channel based marketing solutions,Loren Breslow,,Garfield,NJ,201-788-0371,https://commandmarketinginnovations.com/
"Commonwealth Technology & Solutions of KY, LLC                      ",2028-10-30 00:00:00,WBE,Contractor,"Sales and installation of cutting-edge Audio Enhancement products and a diverse range of technology and interactive solutions, tailored specifically for K-12 schools",Charlene T. Livesay,Madison,Richmond,KY,859-893-3159,https://ctsky-solutions.com/
"Comprehensive Valuation Services, LLC",2026-08-30 00:00:00,MBE,Professional Services,Real estate valuation and consulting,Don Ross,Boone,Florence,KY,859-653-2842,https://cvsvaluations.com/
"Computer Masons, LLC",2028-10-30 00:00:00,MBE,Retail,"IT Hardware procurement, and reselling through source and supply enterprise-grade hardware, including servers, power supplies, and fiber optic materials, through partnerships with distributors like TD SYNNEX and Ingram Micro.",Malek Mason,Jefferson,Louisville,KY,502-744-1376,https://computermasons.com/
"Comtech Global, Inc. ",2028-09-30 00:00:00,MBE ,Professional Services,"Develop software, hardware & software engineering, computer programming, software maintenance and support",Sridhar Nannapaneni,Franklin,Columbus ,OH,614-245-5680,https://www.comtechglobal.com/
"COOLSOFT, LLC",2028-03-30 00:00:00,MBE,Professional Services,"IT consulting services, custom programming & software development ",Bala Chittem,Jefferson,Louisville,KY,502-327-9805,https://www.coolsoft-tech.com/
"Core Controls, LLC",2028-08-30 00:00:00,WBE,Contractor,Building automation controls,Robin Church,Scott,Georgetown,KY,859-225-0560 x 104,https://www.corecontrols.net/
"Cornerstone Engineering, Inc.",2026-08-30 00:00:00,MBE,Professional Services,"Engineering Consulting & Construction Services; Commercial & Industrial building construction; water & sewer line & related structures construction;  masonry contractors;  other foundation, structure & building exteriors contractors;  architectural services & building inspection services; geotechnical engineering and testing services.","Chella Subramanian, P.E.",Jefferson,Louisville,KY,502-493-2717,https://www.cei-engineering.com/
"Cost/Copy Consultants, Inc.",2028-01-30 00:00:00,WBE,Retail,Sales and service of office equipment and IT services,Phyllis Spilman,Lake,Mundelein,IL,847-949-5678,http://www.cost-copy.com/
"Countrywood Home Builders, Inc.",2027-06-30 00:00:00,WBE,Contractor,Clean & repair foreclosed homes,Stephanie Stone,Daviess,Owensboro,KY,270-314-3968,
"Cox Residential, LLC dba Cox Roofing",2028-07-30 00:00:00,MWBE,Contractor,"Roofing, siding, and gutter work",Mishell Cox,,Zionsville,IN,317-600-8838,https://coxroofingsystems.com
"Critical Skills, Inc. dba CSpring",2028-11-30 00:00:00,WBE,Professional Services,"Management Advisory Services, Information Technology Consultation Services, Project Management, Temporary Personnel Services, Computer Services, Software or Hardware Engineering, Management Information Systems, Data Services, Software Maintenance and Support, Information Technology Service, Software Application Administration Service",Cynthia Pizarro,Hamilton,Fishers,IN,317-513-7773,https://cspring.com/
"Crystal Steel Fabricators, Inc. ",2028-02-28 00:00:00,MBE,Manufacturer,"Structural steel fabrication, miscellaneous metals fabrication & erector, ornamental metals fabrication & erector",William Lo,Sussex,Delmar,DE,703-868-6853,https://www.crystalsteel.com/
"Cui Liu Designs, LLC ",2027-10-30 00:00:00,MWBE,Other ,Imports high quality specialty home furnishing products for the mass market. Specifically items designed for the mass discount retailers & merchants ,Cui Liu,Calloway,Murray,KY,270-238-1886,https://cui-liu.com/
"Curk Interiors, Inc.",2029-02-28 00:00:00,WBE,Professional Services,"Interior design for residential and commercial and design service plus supply for furniture, décor, window coverings, and anything for interior and exterior living spaces",Gretchen Curk,Campbell,Wilder,KY,859-380-3086,https://gcurk.decoratingden.com/
"CY, LLC dba LeanFeast ",2026-08-30 00:00:00,MBE,Other ,"Food and catering services, snacks, smoothies, protein drinks, and regular drinks such as energy drinks and water",Collins Youngblood,Fayette,Lexington,KY,804-205-7570,https://leanfeast.com/www.leanfeast.com/index.html
"Cycle Breakers Breaking Chains, Inc.",2029-02-28 00:00:00,MWBE,Other ,"Education and mentoring, community services, life skills, as a non-profit services organization",Kenya Wade,Jefferson,Louisville,KY,502-715-2131,
"D. Daniels Agency, Inc.",2028-11-30 00:00:00,WBE,Other ,Logistics consultation and independent sales representative for Landstar Carrier Group and single source logistics solutions provider,Donna Daniels,Fayette,Lexington,KY,859-983-9529,https://www.ddanielsagency.com/
"D.A.D.S. Bobcat Service, LLC ",2029-05-30 00:00:00,WBE,Contractor,"Concrete restoration for gas, sewer and municipal work",April Webster,Pendleton,Butler,KY,859-749-0631,
"DAR Construction, LLC",2028-04-30 00:00:00,MBE,Contractor,General contracting services,Derek Rideout,Oldham,Buckner,KY,502-693-5225,
"Data Systems Integration Group, Inc.",2028-01-30 00:00:00,MBE,Professional Services,"IT consulting, software, and services",Chad Chalumalla,Franklin,Dublin,OH,614-327-7348,http://www.dsiginc.com/
"DAW Cleaning Services, LLC",2027-05-30 00:00:00,MBE,Subcontractor,"Pressure washing, vinyl and brick cleaning, construction clean-up",Andre Wilson,Fayette,Lexington,KY,859-621-2661,
"DBISP, LLC ",2026-10-30 00:00:00,MBE,Supplier/Distributor,"Provides office, medical, industrial, IT products & technology solutions to federal/city/state government agencies, K-12/university education markets & commercial businesses",John Miller,Hamilton,Cincinnati,OH,317-222-1671,https://www.dbispllc.com/
"DDX Transport, LLC",2028-01-30 00:00:00,MBE,Other ,"Transportation, logistics, and warehousing",Joshua T. “J.T.” Roberts,Kenton,Walton,KY,859-356-3278,http://www.ddxtransport.com/
"Delivery & Distribution Solutions, LLC",2026-08-30 00:00:00,MBE,Non-Professional Services,Courier and logistics services like parcel delivery,Denis Monroe,DuPage,Burr Ridge,IL,708-798-7907,www.deliveryanddistribution.com 
"Distinct Packabilities of Kentucky, LLC dba Distinct Packabilities   ",2028-04-30 00:00:00,WBE,Manufacturer,"Printing, laminating, slitting, bag making",Elizabeth Simon Montgomery,Bullitt,Shepherdsville,KY,502-551-2122,https://distinctpack.com/
"Diversified Systems, Inc.    ",2026-10-30 00:00:00,MBE,Professional Services,Information technology services,"Archie D. Williamson, Jr.",Franklin,Westerville,OH,614-476-9672,https://diversifiedsystems.com/
"DJX Construction Company, LLC",2027-03-30 00:00:00,MBE,Subcontractor,"Heavy civil general contractor specializing in site work (i.e. site demo; clearing; earthwork; embankment; site utilities - sanitary, storm, and water; and site improvements)",James Stocks,Hamilton,Cincinnati,OH,513-577-2323,https://www.djxconstruction.com
"DK Bast Foundation Services, LLC",2027-06-30 00:00:00,WBE,Contractor,Foundation Repairs ,Janet Ragland,Grayson,Leitchfield,KY,615-355-4773,http://www.dkbastfoundation.net/home.html
DLOM Group LLC,2027-05-30 00:00:00,WBE,Contractor,"HVAC duct cleaning, mold remediation and surface and terminal cleaning",Lisa Deaton,Fayette,Lexington,KY,859-230-2068,https://www.dlomgroup.com/
"DLZ Kentucky, Inc.",2028-08-30 00:00:00,MBE,Professional Services,"Consulting architects and engineers for civil, mechanical, electrical, and industrial engineering, environmental testing, asbestos removal, survey, hydraulics, dams, sewers, airports, bridges, hydrology drilling and testing, subdivision management, construction supervision, telephone and gas lines","Vikram Rajadhyaksha, Ram Rajadhyaksha",Fayette,Lexington,KY,859-299-5226,http://www.dlz.com/
"DM Engineers, PLLC ",2026-10-30 00:00:00,MBE,Consultant,"Mechanical, electrical and plumbing consulting engineering services",Mario Mendoza,Queens,Sunnyside,NY,631-275-9362,https://dm-engineers.com/
DM Glass Incorporated,2027-07-30 00:00:00,WBE,Subcontractor,"Fabrication and installation of storefronts, doors, glass, and glazing for new and remodel construction, and repairs",Melanie Martin,,Scottsburg,IN,812-752-4007,https://www.scottsburgglass.com/
"Donna Lawrence Productions, Inc. ",2026-10-30 00:00:00,WBE,Professional Services,Film & video production including special format immersive installations,Donna Lawrence ,Jefferson,Louisville,KY,502-589-9617,https://dlproductions.com/
"Door Services of Indiana, Inc.",2028-10-30 00:00:00,WBE,Subcontractor,"Subcontractor to supply doors, frames, and finish hardware for commercial properties under construction",Angela Peterson,,Franklin,IN,317-780-3800,https://www.dsi-wbe.com/
"Dunrobin Associates, LLC",2028-05-30 00:00:00,WBE,Consultant,Management & technical consulting to public entities involving infrastructure or development ,L. Beth Sutherland,Campbell,Cold Spring,KY,859-781-9776,http://www.dunrobin.org/
"E. Tabb Design Construction & Development, LLC  ",2027-04-30 00:00:00,WBE,Contractor,"Consulting, planning, design, project management and labor of new and existing construction, remodels, and expansions",Alison Snyder,Jefferson,Louisville,KY,502 749-2004,https://etabbllc.com/
